score,log2_sf_pred,log2_sf_real,metakey,metaval
,,,n,55
,,,N,2456
,,,fft,17
,,,enum,28
,,,cores,40
,,,walltime,17384.29442773573
,,,cputime,13.159567769
0,-1.0,-1.002,,
1,-1.033,-1.035,,
2,-1.067,-1.069,,
3,-1.102,-1.104,,
4,-1.137,-1.139,,
5,-1.174,-1.176,,
6,-1.211,-1.213,,
7,-1.249,-1.251,,
8,-1.287,-1.289,,
9,-1.327,-1.329,,
10,-1.367,-1.369,,
11,-1.408,-1.41,,
12,-1.45,-1.452,,
13,-1.493,-1.495,,
14,-1.536,-1.538,,
15,-1.581,-1.583,,
16,-1.626,-1.628,,
17,-1.672,-1.674,,
18,-1.719,-1.721,,
19,-1.767,-1.769,,
20,-1.816,-1.817,,
21,-1.865,-1.867,,
22,-1.916,-1.917,,
23,-1.967,-1.968,,
24,-2.019,-2.021,,
25,-2.072,-2.074,,
26,-2.126,-2.128,,
27,-2.181,-2.182,,
28,-2.237,-2.238,,
29,-2.294,-2.295,,
30,-2.351,-2.352,,
31,-2.41,-2.411,,
32,-2.469,-2.47,,
33,-2.53,-2.53,,
34,-2.591,-2.591,,
35,-2.653,-2.653,,
36,-2.717,-2.716,,
37,-2.781,-2.78,,
38,-2.846,-2.845,,
39,-2.912,-2.911,,
40,-2.979,-2.978,,
41,-3.047,-3.046,,
42,-3.116,-3.114,,
43,-3.186,-3.184,,
44,-3.257,-3.255,,
45,-3.328,-3.326,,
46,-3.401,-3.399,,
47,-3.475,-3.472,,
48,-3.55,-3.547,,
49,-3.626,-3.622,,
50,-3.702,-3.698,,
51,-3.78,-3.776,,
52,-3.859,-3.854,,
53,-3.939,-3.933,,
54,-4.019,-4.014,,
55,-4.101,-4.095,,
56,-4.184,-4.177,,
57,-4.268,-4.261,,
58,-4.353,-4.345,,
59,-4.438,-4.43,,
60,-4.525,-4.516,,
61,-4.613,-4.604,,
62,-4.702,-4.692,,
63,-4.792,-4.781,,
64,-4.883,-4.872,,
65,-4.975,-4.963,,
66,-5.067,-5.055,,
