score,cdf_pred,cdf_real,metakey,metaval
,,,n,80
,,,N,89494
,,,log_samples,15
,,,gh_factor,0.7
,,,cores,4
,,,walltime,1045.6115565870005
,,,cputime,498.071145747
,,,real_avg,1611.3102972214824
,,,real_med,1345.2914264483363
,,,real_var,1344168.4534464418
,,,pred_avg,1598.601748665923
,,,pred_med,1598.601748665923
,,,pred_var,44718.08406605724
-553.303,0.0,0.0,,
-200.801,0.0,0.001,,
-152.35,0.0,0.002,,
-114.384,0.0,0.003,,
-76.444,0.0,0.004,,
-51.439,0.0,0.005,,
-26.983,0.0,0.006,,
-5.81,0.0,0.007,,
11.23,0.0,0.008,,
28.596,0.0,0.009,,
46.195,0.0,0.01,,
56.806,0.0,0.011,,
65.83,0.0,0.012,,
80.24,0.0,0.013,,
89.201,0.0,0.014,,
97.195,0.0,0.015,,
105.597,0.0,0.016,,
113.357,0.0,0.017,,
121.595,0.0,0.018,,
132.752,0.0,0.019,,
138.02,0.0,0.02,,
146.972,0.0,0.021,,
153.822,0.0,0.022,,
159.219,0.0,0.022,,
164.866,0.0,0.023,,
171.693,0.0,0.024,,
177.297,0.0,0.025,,
182.745,0.0,0.026,,
188.851,0.0,0.027,,
194.333,0.0,0.028,,
199.631,0.0,0.029,,
203.692,0.0,0.03,,
207.544,0.0,0.031,,
213.276,0.0,0.032,,
219.509,0.0,0.033,,
224.509,0.0,0.034,,
228.821,0.0,0.035,,
233.079,0.0,0.036,,
237.972,0.0,0.037,,
243.915,0.0,0.038,,
250.426,0.0,0.039,,
253.699,0.0,0.04,,
258.688,0.0,0.041,,
262.547,0.0,0.042,,
265.611,0.0,0.043,,
270.348,0.0,0.044,,
275.031,0.0,0.045,,
278.309,0.0,0.046,,
281.477,0.0,0.047,,
285.238,0.0,0.048,,
289.326,0.0,0.049,,
291.918,0.0,0.05,,
296.356,0.0,0.051,,
300.236,0.0,0.052,,
304.433,0.0,0.053,,
309.508,0.0,0.054,,
314.806,0.0,0.055,,
318.804,0.0,0.056,,
322.137,0.0,0.057,,
325.78,0.0,0.058,,
328.887,0.0,0.059,,
332.388,0.0,0.06,,
336.852,0.0,0.061,,
339.197,0.0,0.062,,
343.152,0.0,0.063,,
346.217,0.0,0.064,,
348.709,0.0,0.064,,
351.565,0.0,0.065,,
353.873,0.0,0.066,,
358.277,0.0,0.067,,
361.74,0.0,0.068,,
364.559,0.0,0.069,,
367.561,0.0,0.07,,
370.67,0.0,0.071,,
373.01,0.0,0.072,,
375.469,0.0,0.073,,
378.688,0.0,0.074,,
381.568,0.0,0.075,,
385.465,0.0,0.076,,
387.958,0.0,0.077,,
390.767,0.0,0.078,,
393.425,0.0,0.079,,
396.547,0.0,0.08,,
400.153,0.0,0.081,,
403.213,0.0,0.082,,
406.474,0.0,0.083,,
409.358,0.0,0.084,,
