score,log2_sf_pred,log2_sf_real,metakey,metaval
,,,n,75
,,,N,43596
,,,fft,18
,,,enum,27
,,,cores,40
,,,walltime,50696.81245855428
,,,cputime,188.54863223299998
0,-1.0,-1.0,,
1,-1.008,-1.008,,
2,-1.016,-1.016,,
3,-1.024,-1.024,,
4,-1.032,-1.032,,
5,-1.04,-1.04,,
6,-1.048,-1.048,,
7,-1.056,-1.056,,
8,-1.064,-1.064,,
9,-1.072,-1.072,,
10,-1.08,-1.08,,
11,-1.088,-1.089,,
12,-1.097,-1.097,,
13,-1.105,-1.105,,
14,-1.113,-1.114,,
15,-1.122,-1.122,,
16,-1.13,-1.131,,
17,-1.139,-1.139,,
18,-1.147,-1.148,,
19,-1.156,-1.156,,
20,-1.164,-1.165,,
21,-1.173,-1.174,,
22,-1.182,-1.182,,
23,-1.191,-1.191,,
24,-1.199,-1.2,,
25,-1.208,-1.209,,
26,-1.217,-1.218,,
27,-1.226,-1.227,,
28,-1.235,-1.236,,
29,-1.244,-1.245,,
30,-1.253,-1.254,,
31,-1.262,-1.263,,
32,-1.272,-1.272,,
33,-1.281,-1.281,,
34,-1.29,-1.29,,
35,-1.299,-1.3,,
36,-1.309,-1.309,,
37,-1.318,-1.318,,
38,-1.328,-1.328,,
39,-1.337,-1.337,,
40,-1.347,-1.347,,
41,-1.356,-1.357,,
42,-1.366,-1.366,,
43,-1.375,-1.376,,
44,-1.385,-1.386,,
45,-1.395,-1.395,,
46,-1.405,-1.405,,
47,-1.415,-1.415,,
48,-1.425,-1.425,,
49,-1.434,-1.435,,
50,-1.444,-1.445,,
51,-1.454,-1.455,,
52,-1.465,-1.465,,
53,-1.475,-1.475,,
54,-1.485,-1.485,,
55,-1.495,-1.495,,
56,-1.505,-1.506,,
57,-1.516,-1.516,,
58,-1.526,-1.526,,
59,-1.537,-1.537,,
60,-1.547,-1.547,,
61,-1.557,-1.558,,
62,-1.568,-1.568,,
63,-1.579,-1.579,,
64,-1.589,-1.59,,
65,-1.6,-1.6,,
66,-1.611,-1.611,,
67,-1.622,-1.622,,
68,-1.632,-1.633,,
69,-1.643,-1.644,,
70,-1.654,-1.655,,
71,-1.665,-1.666,,
72,-1.676,-1.677,,
73,-1.687,-1.688,,
74,-1.698,-1.699,,
75,-1.71,-1.71,,
76,-1.721,-1.721,,
77,-1.732,-1.733,,
78,-1.744,-1.744,,
79,-1.755,-1.755,,
80,-1.766,-1.767,,
81,-1.778,-1.778,,
82,-1.789,-1.79,,
83,-1.801,-1.801,,
84,-1.813,-1.813,,
85,-1.824,-1.825,,
86,-1.836,-1.836,,
87,-1.848,-1.848,,
88,-1.859,-1.86,,
89,-1.871,-1.872,,
90,-1.883,-1.884,,
91,-1.895,-1.896,,
92,-1.907,-1.908,,
93,-1.919,-1.92,,
94,-1.931,-1.932,,
95,-1.944,-1.944,,
96,-1.956,-1.956,,
97,-1.968,-1.968,,
98,-1.98,-1.981,,
99,-1.993,-1.993,,
100,-2.005,-2.005,,
101,-2.018,-2.018,,
102,-2.03,-2.03,,
103,-2.043,-2.043,,
104,-2.055,-2.056,,
105,-2.068,-2.068,,
106,-2.081,-2.081,,
107,-2.094,-2.094,,
108,-2.106,-2.107,,
109,-2.119,-2.119,,
110,-2.132,-2.132,,
111,-2.145,-2.145,,
112,-2.158,-2.158,,
113,-2.171,-2.171,,
114,-2.184,-2.185,,
115,-2.197,-2.198,,
116,-2.211,-2.211,,
117,-2.224,-2.224,,
118,-2.237,-2.238,,
119,-2.251,-2.251,,
120,-2.264,-2.264,,
121,-2.278,-2.278,,
122,-2.291,-2.291,,
123,-2.305,-2.305,,
124,-2.318,-2.319,,
125,-2.332,-2.332,,
126,-2.346,-2.346,,
127,-2.36,-2.36,,
128,-2.373,-2.374,,
129,-2.387,-2.388,,
130,-2.401,-2.401,,
131,-2.415,-2.415,,
132,-2.429,-2.43,,
133,-2.443,-2.444,,
134,-2.458,-2.458,,
135,-2.472,-2.472,,
136,-2.486,-2.486,,
137,-2.5,-2.501,,
138,-2.515,-2.515,,
139,-2.529,-2.529,,
140,-2.544,-2.544,,
141,-2.558,-2.558,,
142,-2.573,-2.573,,
143,-2.587,-2.587,,
144,-2.602,-2.602,,
145,-2.617,-2.617,,
146,-2.632,-2.632,,
147,-2.646,-2.646,,
148,-2.661,-2.661,,
149,-2.676,-2.676,,
150,-2.691,-2.691,,
151,-2.706,-2.706,,
152,-2.721,-2.721,,
153,-2.737,-2.737,,
154,-2.752,-2.752,,
155,-2.767,-2.767,,
156,-2.782,-2.782,,
157,-2.798,-2.798,,
158,-2.813,-2.813,,
159,-2.829,-2.829,,
160,-2.844,-2.844,,
161,-2.86,-2.86,,
162,-2.876,-2.875,,
163,-2.891,-2.891,,
164,-2.907,-2.907,,
165,-2.923,-2.923,,
166,-2.939,-2.938,,
167,-2.955,-2.954,,
168,-2.97,-2.97,,
169,-2.987,-2.986,,
170,-3.003,-3.002,,
171,-3.019,-3.018,,
172,-3.035,-3.035,,
173,-3.051,-3.051,,
174,-3.067,-3.067,,
175,-3.084,-3.083,,
176,-3.1,-3.1,,
177,-3.117,-3.116,,
178,-3.133,-3.133,,
179,-3.15,-3.149,,
180,-3.166,-3.166,,
181,-3.183,-3.183,,
182,-3.2,-3.199,,
183,-3.216,-3.216,,
184,-3.233,-3.233,,
185,-3.25,-3.25,,
186,-3.267,-3.267,,
187,-3.284,-3.284,,
188,-3.301,-3.301,,
189,-3.318,-3.318,,
190,-3.335,-3.335,,
191,-3.353,-3.352,,
192,-3.37,-3.369,,
193,-3.387,-3.387,,
194,-3.405,-3.404,,
195,-3.422,-3.422,,
196,-3.44,-3.439,,
197,-3.457,-3.457,,
198,-3.475,-3.474,,
199,-3.492,-3.492,,
200,-3.51,-3.51,,
201,-3.528,-3.527,,
202,-3.546,-3.545,,
203,-3.564,-3.563,,
204,-3.582,-3.581,,
205,-3.6,-3.599,,
206,-3.618,-3.617,,
207,-3.636,-3.635,,
208,-3.654,-3.653,,
209,-3.672,-3.671,,
210,-3.69,-3.69,,
211,-3.709,-3.708,,
212,-3.727,-3.726,,
213,-3.746,-3.745,,
214,-3.764,-3.763,,
215,-3.783,-3.782,,
216,-3.801,-3.8,,
217,-3.82,-3.819,,
218,-3.839,-3.838,,
219,-3.857,-3.856,,
220,-3.876,-3.875,,
221,-3.895,-3.894,,
222,-3.914,-3.913,,
223,-3.933,-3.932,,
224,-3.952,-3.951,,
225,-3.971,-3.97,,
226,-3.99,-3.989,,
227,-4.01,-4.009,,
228,-4.029,-4.028,,
229,-4.048,-4.047,,
230,-4.068,-4.066,,
231,-4.087,-4.086,,
232,-4.107,-4.105,,
233,-4.126,-4.125,,
234,-4.146,-4.145,,
235,-4.165,-4.164,,
236,-4.185,-4.184,,
237,-4.205,-4.204,,
238,-4.225,-4.224,,
239,-4.245,-4.243,,
240,-4.265,-4.263,,
241,-4.285,-4.283,,
242,-4.305,-4.303,,
243,-4.325,-4.324,,
244,-4.345,-4.344,,
245,-4.365,-4.364,,
246,-4.386,-4.384,,
247,-4.406,-4.405,,
248,-4.427,-4.425,,
249,-4.447,-4.445,,
250,-4.468,-4.466,,
251,-4.488,-4.486,,
252,-4.509,-4.507,,
253,-4.529,-4.528,,
254,-4.55,-4.549,,
255,-4.571,-4.569,,
256,-4.592,-4.59,,
257,-4.613,-4.611,,
258,-4.634,-4.632,,
259,-4.655,-4.653,,
260,-4.676,-4.674,,
261,-4.697,-4.695,,
262,-4.718,-4.717,,
263,-4.74,-4.738,,
264,-4.761,-4.759,,
265,-4.782,-4.78,,
266,-4.804,-4.802,,
267,-4.825,-4.823,,
268,-4.847,-4.845,,
269,-4.869,-4.867,,
270,-4.89,-4.888,,
271,-4.912,-4.91,,
272,-4.934,-4.932,,
273,-4.956,-4.954,,
274,-4.978,-4.975,,
275,-5.0,-4.997,,
276,-5.022,-5.019,,
277,-5.044,-5.041,,
278,-5.066,-5.064,,
279,-5.088,-5.086,,
280,-5.11,-5.108,,
281,-5.133,-5.13,,
282,-5.155,-5.153,,
283,-5.178,-5.175,,
284,-5.2,-5.197,,
285,-5.223,-5.22,,
286,-5.245,-5.243,,
287,-5.268,-5.265,,
288,-5.291,-5.288,,
289,-5.313,-5.311,,
290,-5.336,-5.334,,
291,-5.359,-5.356,,
292,-5.382,-5.379,,
293,-5.405,-5.402,,
294,-5.428,-5.425,,
295,-5.451,-5.449,,
296,-5.475,-5.472,,
297,-5.498,-5.495,,
298,-5.521,-5.518,,
299,-5.545,-5.542,,
300,-5.568,-5.565,,
301,-5.592,-5.588,,
302,-5.615,-5.612,,
303,-5.639,-5.635,,
304,-5.662,-5.659,,
305,-5.686,-5.683,,
306,-5.71,-5.707,,
307,-5.734,-5.73,,
308,-5.758,-5.754,,
309,-5.782,-5.778,,
310,-5.806,-5.802,,
311,-5.83,-5.826,,
312,-5.854,-5.85,,
313,-5.878,-5.874,,
314,-5.902,-5.899,,
315,-5.927,-5.923,,
316,-5.951,-5.947,,
317,-5.975,-5.972,,
318,-6.0,-5.996,,
319,-6.025,-6.021,,
320,-6.049,-6.045,,
321,-6.074,-6.07,,
322,-6.099,-6.095,,
323,-6.123,-6.119,,
324,-6.148,-6.144,,
325,-6.173,-6.169,,
326,-6.198,-6.194,,
327,-6.223,-6.219,,
328,-6.248,-6.244,,
329,-6.273,-6.269,,
330,-6.299,-6.294,,
331,-6.324,-6.32,,
332,-6.349,-6.345,,
333,-6.375,-6.37,,
334,-6.4,-6.396,,
335,-6.426,-6.421,,
336,-6.451,-6.447,,
337,-6.477,-6.472,,
338,-6.502,-6.498,,
339,-6.528,-6.524,,
340,-6.554,-6.549,,
341,-6.58,-6.575,,
342,-6.606,-6.601,,
343,-6.632,-6.627,,
344,-6.658,-6.653,,
345,-6.684,-6.679,,
346,-6.71,-6.705,,
347,-6.736,-6.731,,
348,-6.763,-6.758,,
349,-6.789,-6.784,,
350,-6.815,-6.81,,
351,-6.842,-6.837,,
352,-6.868,-6.863,,
353,-6.895,-6.89,,
354,-6.922,-6.916,,
355,-6.948,-6.943,,
356,-6.975,-6.97,,
357,-7.002,-6.996,,
358,-7.029,-7.023,,
359,-7.056,-7.05,,
360,-7.083,-7.077,,
361,-7.11,-7.104,,
362,-7.137,-7.131,,
363,-7.164,-7.158,,
364,-7.191,-7.185,,
365,-7.219,-7.213,,
366,-7.246,-7.24,,
367,-7.273,-7.267,,
368,-7.301,-7.295,,
369,-7.328,-7.322,,
370,-7.356,-7.35,,
371,-7.384,-7.377,,
372,-7.411,-7.405,,
373,-7.439,-7.433,,
374,-7.467,-7.461,,
375,-7.495,-7.489,,
376,-7.523,-7.516,,
377,-7.551,-7.544,,
378,-7.579,-7.572,,
379,-7.607,-7.601,,
380,-7.635,-7.629,,
381,-7.664,-7.657,,
382,-7.692,-7.685,,
383,-7.72,-7.714,,
384,-7.749,-7.742,,
385,-7.777,-7.77,,
386,-7.806,-7.799,,
387,-7.835,-7.827,,
388,-7.863,-7.856,,
389,-7.892,-7.885,,
390,-7.921,-7.914,,
391,-7.95,-7.942,,
392,-7.979,-7.971,,
393,-8.008,-8.0,,
394,-8.037,-8.029,,
395,-8.066,-8.058,,
396,-8.095,-8.087,,
397,-8.124,-8.117,,
398,-8.154,-8.146,,
399,-8.183,-8.175,,
400,-8.212,-8.204,,
401,-8.242,-8.234,,
402,-8.271,-8.263,,
403,-8.301,-8.293,,
404,-8.331,-8.323,,
405,-8.36,-8.352,,
406,-8.39,-8.382,,
407,-8.42,-8.412,,
408,-8.45,-8.442,,
409,-8.48,-8.471,,
410,-8.51,-8.501,,
411,-8.54,-8.531,,
412,-8.57,-8.562,,
413,-8.6,-8.592,,
414,-8.631,-8.622,,
415,-8.661,-8.652,,
416,-8.691,-8.682,,
417,-8.722,-8.713,,
418,-8.752,-8.743,,
419,-8.783,-8.774,,
420,-8.814,-8.804,,
421,-8.844,-8.835,,
