score,cdf_pred,cdf_real,metakey,metaval
,,,n,90
,,,N,377126
,,,log_samples,15
,,,gh_factor,0.7
,,,cores,4
,,,walltime,6609.0874006019985
,,,cputime,7826.489602066
,,,real_avg,4341.384596874707
,,,real_med,3521.344696960394
,,,real_var,10974408.715263762
,,,pred_avg,4295.14063395247
,,,pred_med,4295.14063395247
,,,pred_var,188513.45765091994
-1304.572,0.0,0.0,,
-339.1,0.0,0.001,,
-201.535,0.0,0.002,,
-97.609,0.0,0.003,,
-49.015,0.0,0.004,,
-6.673,0.0,0.005,,
36.99,0.0,0.006,,
89.172,0.0,0.007,,
129.915,0.0,0.008,,
153.149,0.0,0.009,,
182.667,0.0,0.01,,
213.359,0.0,0.011,,
236.131,0.0,0.012,,
258.024,0.0,0.013,,
284.562,0.0,0.014,,
309.083,0.0,0.015,,
327.037,0.0,0.016,,
344.525,0.0,0.017,,
359.03,0.0,0.018,,
379.902,0.0,0.019,,
400.528,0.0,0.02,,
420.149,0.0,0.021,,
440.707,0.0,0.022,,
459.617,0.0,0.022,,
475.473,0.0,0.023,,
490.238,0.0,0.024,,
504.069,0.0,0.025,,
513.565,0.0,0.026,,
527.322,0.0,0.027,,
541.546,0.0,0.028,,
555.778,0.0,0.029,,
572.683,0.0,0.03,,
583.002,0.0,0.031,,
593.167,0.0,0.032,,
601.402,0.0,0.033,,
614.29,0.0,0.034,,
625.187,0.0,0.035,,
635.475,0.0,0.036,,
648.452,0.0,0.037,,
660.368,0.0,0.038,,
668.014,0.0,0.039,,
680.053,0.0,0.04,,
692.989,0.0,0.041,,
704.564,0.0,0.042,,
715.449,0.0,0.043,,
726.072,0.0,0.044,,
734.668,0.0,0.045,,
743.968,0.0,0.046,,
754.698,0.0,0.047,,
762.954,0.0,0.048,,
776.198,0.0,0.049,,
784.587,0.0,0.05,,
795.696,0.0,0.051,,
805.982,0.0,0.052,,
814.235,0.0,0.053,,
826.161,0.0,0.054,,
836.822,0.0,0.055,,
848.25,0.0,0.056,,
857.111,0.0,0.057,,
868.059,0.0,0.058,,
877.476,0.0,0.059,,
883.549,0.0,0.06,,
890.774,0.0,0.061,,
896.927,0.0,0.062,,
906.268,0.0,0.063,,
913.22,0.0,0.064,,
922.308,0.0,0.064,,
