-3.69, 	 5611, 	 4681, 	 5676
-3.68, 	 5724, 	 4734, 	 5758
-3.67, 	 5786, 	 4949, 	 5641
-3.66, 	 6078, 	 5148, 	 5983
-3.65, 	 5911, 	 5320, 	 5953
-3.64, 	 5992, 	 5468, 	 6116
-3.63, 	 6123, 	 5569, 	 6254
-3.62, 	 6287, 	 5804, 	 6268
-3.61, 	 6503, 	 5865, 	 6388
-3.60, 	 6399, 	 6049, 	 6396
-3.59, 	 6471, 	 6106, 	 6597
-3.58, 	 6665, 	 6385, 	 6622
-3.57, 	 6702, 	 6544, 	 6687
-3.56, 	 6899, 	 6726, 	 6851
-3.55, 	 7059, 	 6827, 	 6940
-3.54, 	 6949, 	 7133, 	 7052
-3.53, 	 7161, 	 7165, 	 7221
-3.52, 	 7050, 	 7331, 	 7195
-3.51, 	 7386, 	 7564, 	 7365
-3.50, 	 7367, 	 7717, 	 7525
-3.49, 	 7640, 	 7990, 	 7525
-3.48, 	 7603, 	 8069, 	 7573
-3.47, 	 7777, 	 8217, 	 7800
-3.46, 	 7964, 	 8299, 	 7893
-3.45, 	 8203, 	 8437, 	 7948
-3.44, 	 8102, 	 9001, 	 8038
-3.43, 	 8214, 	 9019, 	 8365
-3.42, 	 8186, 	 9084, 	 8366
-3.41, 	 8485, 	 9378, 	 8438
-3.40, 	 8640, 	 9566, 	 8602
-3.39, 	 8462, 	 9607, 	 8772
-3.38, 	 8757, 	 9998, 	 8737
-3.37, 	 8984, 	 10134, 	 9078
-3.36, 	 9118, 	 10222, 	 9066
-3.35, 	 9059, 	 10345, 	 9194
-3.34, 	 9240, 	 10545, 	 9205
-3.33, 	 9408, 	 10932, 	 9515
-3.32, 	 9333, 	 11028, 	 9476
-3.31, 	 9562, 	 11377, 	 9730
-3.30, 	 9819, 	 11441, 	 9846
-3.29, 	 9975, 	 11740, 	 9823
-3.28, 	 10211, 	 11857, 	 10031
-3.27, 	 10448, 	 12132, 	 10339
-3.26, 	 10541, 	 12340, 	 10450
-3.25, 	 10639, 	 12531, 	 10546
-3.24, 	 10595, 	 12936, 	 10639
-3.23, 	 10928, 	 13217, 	 10984
-3.22, 	 10977, 	 13422, 	 10892
-3.21, 	 11039, 	 13562, 	 11026
-3.20, 	 11149, 	 13756, 	 11094
-3.19, 	 11347, 	 14178, 	 11383
-3.18, 	 11512, 	 14358, 	 11477
-3.17, 	 11675, 	 14685, 	 11712
-3.16, 	 11885, 	 14952, 	 11796
-3.15, 	 11917, 	 15524, 	 12015
-3.14, 	 12259, 	 15372, 	 11920
-3.13, 	 12258, 	 15647, 	 12321
-3.12, 	 12380, 	 15980, 	 12306
-3.11, 	 12739, 	 16152, 	 12500
-3.10, 	 12825, 	 16642, 	 12701
-3.09, 	 12980, 	 16934, 	 12822
-3.08, 	 12888, 	 17095, 	 13046
-3.07, 	 13224, 	 17501, 	 13282
-3.06, 	 13665, 	 18126, 	 13472
-3.05, 	 13857, 	 18349, 	 13648
-3.04, 	 13805, 	 18601, 	 13816
-3.03, 	 14112, 	 19025, 	 14006
-3.02, 	 14453, 	 19223, 	 14304
-3.01, 	 14540, 	 19573, 	 14440
-3.00, 	 14713, 	 20582, 	 14727
-2.99, 	 15177, 	 20961, 	 15069
-2.98, 	 15200, 	 21599, 	 15281
-2.97, 	 15520, 	 21959, 	 15612
-2.96, 	 15484, 	 22167, 	 15673
-2.95, 	 16099, 	 22549, 	 15850
-2.94, 	 16062, 	 22626, 	 16122
-2.93, 	 16428, 	 23236, 	 16487
-2.92, 	 16762, 	 24015, 	 16785
-2.91, 	 16703, 	 23750, 	 17011
-2.90, 	 17116, 	 24535, 	 17417
-2.89, 	 17530, 	 24417, 	 17467
-2.88, 	 17719, 	 25023, 	 17645
-2.87, 	 17620, 	 25149, 	 17945
-2.86, 	 18126, 	 25700, 	 18214
-2.85, 	 18259, 	 25571, 	 18466
-2.84, 	 18699, 	 26228, 	 18654
-2.83, 	 18880, 	 26190, 	 19002
-2.82, 	 19186, 	 26852, 	 19177
-2.81, 	 19361, 	 26753, 	 19229
-2.80, 	 19649, 	 27174, 	 19700
-2.79, 	 19547, 	 27257, 	 19710
-2.78, 	 20048, 	 27485, 	 20047
-2.77, 	 20469, 	 27547, 	 20046
-2.76, 	 20429, 	 28173, 	 20729
-2.75, 	 20632, 	 28017, 	 20963
-2.74, 	 20991, 	 28798, 	 20970
-2.73, 	 21430, 	 28863, 	 21355
-2.72, 	 21739, 	 29088, 	 21497
-2.71, 	 21689, 	 29443, 	 21651
-2.70, 	 22156, 	 29354, 	 21894
-2.69, 	 22168, 	 29436, 	 22174
-2.68, 	 22748, 	 29841, 	 22492
-2.67, 	 22894, 	 29944, 	 22620
-2.66, 	 22942, 	 30764, 	 23001
-2.65, 	 22871, 	 30671, 	 22860
-2.64, 	 23726, 	 30706, 	 23654
-2.63, 	 23797, 	 30847, 	 23845
-2.62, 	 23825, 	 31202, 	 23653
-2.61, 	 24147, 	 31646, 	 24183
-2.60, 	 24432, 	 31681, 	 24377
-2.59, 	 24602, 	 31955, 	 24899
-2.58, 	 25160, 	 32579, 	 24609
-2.57, 	 25023, 	 32344, 	 25196
-2.56, 	 25440, 	 32855, 	 25334
-2.55, 	 25281, 	 32666, 	 25379
-2.54, 	 25778, 	 33132, 	 25817
-2.53, 	 25965, 	 33060, 	 26090
-2.52, 	 26230, 	 33653, 	 26512
-2.51, 	 26636, 	 33520, 	 26449
-2.50, 	 26596, 	 33838, 	 26549
-2.49, 	 27362, 	 33991, 	 27144
-2.48, 	 27103, 	 34015, 	 27435
-2.47, 	 27488, 	 34368, 	 27770
-2.46, 	 27943, 	 34702, 	 27738
-2.45, 	 28386, 	 34762, 	 28437
-2.44, 	 28519, 	 34897, 	 28708
-2.43, 	 28627, 	 34918, 	 28855
-2.42, 	 28850, 	 35314, 	 28939
-2.41, 	 28979, 	 35666, 	 29132
-2.40, 	 29187, 	 35691, 	 29205
-2.39, 	 29505, 	 36101, 	 29725
-2.38, 	 29588, 	 36060, 	 29820
-2.37, 	 30218, 	 36258, 	 29977
-2.36, 	 30652, 	 36405, 	 30249
-2.35, 	 30669, 	 36620, 	 30708
-2.34, 	 30839, 	 36580, 	 31304
-2.33, 	 31263, 	 37090, 	 31347
-2.32, 	 31460, 	 37108, 	 31588
-2.31, 	 31623, 	 37285, 	 31928
-2.30, 	 32287, 	 37443, 	 32437
-2.29, 	 31851, 	 37798, 	 32153
-2.28, 	 32569, 	 37640, 	 32596
-2.27, 	 32675, 	 38034, 	 32820
-2.26, 	 32913, 	 38149, 	 32869
-2.25, 	 33323, 	 38581, 	 33237
-2.24, 	 33647, 	 38737, 	 33661
-2.23, 	 33708, 	 39008, 	 33894
-2.22, 	 34139, 	 39284, 	 33974
-2.21, 	 34211, 	 39102, 	 34015
-2.20, 	 34311, 	 39231, 	 34407
-2.19, 	 34602, 	 39404, 	 34385
-2.18, 	 34869, 	 39604, 	 35165
-2.17, 	 35390, 	 39708, 	 35346
-2.16, 	 35994, 	 39687, 	 35652
-2.15, 	 35859, 	 40035, 	 35752
-2.14, 	 36233, 	 39902, 	 35960
-2.13, 	 36550, 	 40827, 	 36404
-2.12, 	 37292, 	 40764, 	 36940
-2.11, 	 36850, 	 40799, 	 36788
-2.10, 	 36916, 	 41295, 	 37430
-2.09, 	 37461, 	 41149, 	 37319
-2.08, 	 37809, 	 40885, 	 37461
-2.07, 	 38326, 	 41949, 	 38136
-2.06, 	 38607, 	 42024, 	 38004
-2.05, 	 38803, 	 41687, 	 38513
-2.04, 	 38361, 	 41770, 	 38382
-2.03, 	 38805, 	 42441, 	 39176
-2.02, 	 39417, 	 41854, 	 39526
-2.01, 	 39677, 	 42505, 	 39344
-2.00, 	 40030, 	 42564, 	 39534
-1.99, 	 40268, 	 42847, 	 40315
-1.98, 	 40085, 	 42898, 	 40932
-1.97, 	 40410, 	 43195, 	 40640
-1.96, 	 40927, 	 43434, 	 40932
-1.95, 	 41318, 	 43621, 	 41377
-1.94, 	 41584, 	 43560, 	 41152
-1.93, 	 41754, 	 43916, 	 41793
-1.92, 	 41664, 	 43920, 	 42295
-1.91, 	 42455, 	 44079, 	 42574
-1.90, 	 42521, 	 44447, 	 42640
-1.89, 	 42986, 	 44511, 	 42864
-1.88, 	 43093, 	 44678, 	 42746
-1.87, 	 43546, 	 44592, 	 43572
-1.86, 	 44139, 	 44932, 	 43644
-1.85, 	 44131, 	 44861, 	 44032
-1.84, 	 44235, 	 45130, 	 44352
-1.83, 	 44686, 	 45204, 	 44668
-1.82, 	 44636, 	 45101, 	 44874
-1.81, 	 45220, 	 45639, 	 45058
-1.80, 	 45382, 	 45582, 	 45739
-1.79, 	 45846, 	 46260, 	 45735
-1.78, 	 46049, 	 45962, 	 46184
-1.77, 	 45854, 	 46111, 	 46354
-1.76, 	 46613, 	 46325, 	 46251
-1.75, 	 47063, 	 46676, 	 46735
-1.74, 	 47040, 	 46858, 	 46984
-1.73, 	 47613, 	 46856, 	 47064
-1.72, 	 47827, 	 46732, 	 48126
-1.71, 	 48112, 	 47077, 	 47629
-1.70, 	 48321, 	 47177, 	 48186
-1.69, 	 48936, 	 47156, 	 48345
-1.68, 	 48979, 	 47748, 	 48963
-1.67, 	 48883, 	 47957, 	 48967
-1.66, 	 49076, 	 47981, 	 49367
-1.65, 	 49703, 	 48123, 	 49648
-1.64, 	 50323, 	 48557, 	 49519
-1.63, 	 50306, 	 48354, 	 50089
-1.62, 	 50392, 	 48844, 	 50337
-1.61, 	 50478, 	 48821, 	 51188
-1.60, 	 51257, 	 49087, 	 50716
-1.59, 	 51055, 	 48930, 	 51596
-1.58, 	 51412, 	 49393, 	 51635
-1.57, 	 52011, 	 49181, 	 51782
-1.56, 	 52588, 	 49550, 	 52207
-1.55, 	 52854, 	 49888, 	 52482
-1.54, 	 53095, 	 49817, 	 53130
-1.53, 	 53042, 	 49763, 	 53169
-1.52, 	 53230, 	 49773, 	 53117
-1.51, 	 53537, 	 50099, 	 53377
-1.50, 	 54279, 	 50586, 	 54031
-1.49, 	 54303, 	 50540, 	 54257
-1.48, 	 54323, 	 51134, 	 54761
-1.47, 	 54964, 	 50772, 	 55251
-1.46, 	 55154, 	 50972, 	 55407
-1.45, 	 55849, 	 51084, 	 55444
-1.44, 	 55963, 	 51429, 	 55749
-1.43, 	 56176, 	 51427, 	 56236
-1.42, 	 56558, 	 51763, 	 56541
-1.41, 	 56549, 	 51787, 	 56840
-1.40, 	 56979, 	 52370, 	 56957
-1.39, 	 57450, 	 52459, 	 57343
-1.38, 	 57532, 	 52051, 	 57909
-1.37, 	 58087, 	 52606, 	 58703
-1.36, 	 58401, 	 52718, 	 57975
-1.35, 	 58169, 	 52218, 	 58871
-1.34, 	 58753, 	 53137, 	 58987
-1.33, 	 59169, 	 52777, 	 59089
-1.32, 	 59682, 	 53283, 	 59383
-1.31, 	 59594, 	 53161, 	 59423
-1.30, 	 59902, 	 54021, 	 59789
-1.29, 	 60396, 	 53704, 	 60382
-1.28, 	 60403, 	 53885, 	 61005
-1.27, 	 60827, 	 54289, 	 61019
-1.26, 	 61584, 	 54136, 	 61442
