score,log2_sf_pred,log2_sf_real,metakey,metaval
,,,n,40
,,,N,284
,,,fft,16
,,,enum,29
,,,cores,40
,,,walltime,14552.137924751267
,,,cputime,8.544578782
0,-1.0,-1.005,,
1,-1.1,-1.105,,
2,-1.206,-1.212,,
3,-1.32,-1.326,,
4,-1.44,-1.446,,
5,-1.568,-1.574,,
6,-1.702,-1.708,,
7,-1.844,-1.85,,
8,-1.994,-1.999,,
9,-2.152,-2.156,,
10,-2.317,-2.32,,
11,-2.49,-2.492,,
12,-2.672,-2.672,,
13,-2.861,-2.86,,
14,-3.059,-3.055,,
15,-3.265,-3.259,,
16,-3.479,-3.471,,
17,-3.702,-3.69,,
18,-3.933,-3.918,,
19,-4.173,-4.154,,
20,-4.422,-4.399,,
21,-4.68,-4.651,,
22,-4.946,-4.912,,
23,-5.222,-5.182,,
24,-5.506,-5.459,,
25,-5.8,-5.745,,
26,-6.102,-6.039,,
27,-6.413,-6.342,,
28,-6.734,-6.653,,
29,-7.064,-6.973,,
30,-7.403,-7.301,,
31,-7.751,-7.637,,
32,-8.109,-7.982,,
33,-8.476,-8.335,,
34,-8.852,-8.696,,
35,-9.238,-9.066,,
36,-9.633,-9.444,,
37,-10.038,-9.83,,
38,-10.452,-10.225,,
39,-10.875,-10.628,,
40,-11.308,-11.038,,
41,-11.751,-11.457,,
42,-12.203,-11.884,,
43,-12.665,-12.319,,
44,-13.136,-12.761,,
45,-13.617,-13.212,,
46,-14.108,-13.67,,
47,-14.608,-14.135,,
48,-15.118,-14.608,,
49,-15.638,-15.088,,
50,-16.167,-15.575,,
51,-16.706,-16.069,,
52,-17.255,-16.57,,
53,-17.814,-17.077,,
54,-18.382,-17.591,,
55,-18.96,-18.11,,
56,-19.548,-18.635,,
57,-20.146,-19.164,,
58,-20.753,-19.699,,
59,-21.37,-20.237,,
60,-21.998,-20.779,,
61,-22.635,-21.324,,
62,-23.281,-21.871,,
63,-23.938,-22.419,,
64,-24.604,-22.967,,
65,-25.281,-23.516,,
66,-25.967,-24.062,,
67,-26.663,-24.605,,
68,-27.369,-25.144,,
69,-28.085,-25.677,,
70,-28.811,-26.203,,
71,-29.547,-26.722,,
72,-30.292,-27.228,,
73,-31.048,-27.723,,
74,-31.813,-28.209,,
75,-32.589,-28.683,,
76,-33.374,-29.145,,
77,-34.169,-29.595,,
78,-34.974,-30.035,,
79,-35.79,-30.461,,
79.84,-36.482,-30.811,,
79.9,-36.532,-30.835,,
80.0,-36.614,-30.873,,
