score,cdf_pred,cdf_real,metakey,metaval
,,,n,50
,,,N,1196
,,,log_samples,15
,,,gh_factor,0.7
,,,cores,4
,,,walltime,12.483499841000594
,,,cputime,0.738766195
,,,real_avg,83.94227497219065
,,,real_med,76.59032952998464
,,,real_var,2903.85889418851
,,,pred_avg,83.01956394152786
,,,pred_med,83.01956394152786
,,,pred_var,592.1747236119087
-70.494,0.0,0.0,,
-36.134,0.0,0.001,,
-30.496,0.0,0.002,,
-27.122,0.0,0.003,,
-23.548,0.0,0.004,,
-21.067,0.0,0.005,,
-19.074,0.0,0.006,,
-17.419,0.0,0.007,,
-16.034,0.0,0.008,,
-14.723,0.0,0.009,,
-13.491,0.0,0.01,,
-12.636,0.0,0.011,,
-11.576,0.0,0.012,,
-10.526,0.0,0.013,,
-9.522,0.0,0.014,,
-8.759,0.0,0.015,,
-7.835,0.0,0.016,,
-7.306,0.0,0.017,,
-6.607,0.0,0.018,,
-5.899,0.0,0.019,,
-5.094,0.0,0.02,,
-4.331,0.0,0.021,,
-3.533,0.0,0.022,,
-2.837,0.0,0.022,,
-2.272,0.0,0.023,,
-1.897,0.0,0.024,,
-1.271,0.0,0.025,,
-0.747,0.0,0.026,,
-0.206,0.0,0.027,,
0.308,0.0,0.028,,
0.932,0.0,0.029,,
1.386,0.0,0.03,,
1.945,0.0,0.031,,
2.415,0.0,0.032,,
2.898,0.0,0.033,,
3.235,0.001,0.034,,
3.7,0.001,0.035,,
4.085,0.001,0.036,,
4.491,0.001,0.037,,
4.832,0.001,0.038,,
5.214,0.001,0.039,,
5.778,0.001,0.04,,
6.161,0.001,0.041,,
6.545,0.001,0.042,,
6.981,0.001,0.043,,
7.318,0.001,0.044,,
7.708,0.001,0.045,,
8.021,0.001,0.046,,
8.329,0.001,0.047,,
8.605,0.001,0.048,,
8.824,0.001,0.049,,
9.063,0.001,0.05,,
9.438,0.001,0.051,,
9.811,0.001,0.052,,
10.133,0.001,0.053,,
10.52,0.001,0.054,,
10.788,0.001,0.055,,
11.058,0.002,0.056,,
11.312,0.002,0.057,,
11.612,0.002,0.058,,
11.953,0.002,0.059,,
12.337,0.002,0.06,,
12.66,0.002,0.061,,
12.976,0.002,0.062,,
13.313,0.002,0.063,,
13.607,0.002,0.064,,
13.826,0.002,0.064,,
14.094,0.002,0.065,,
14.325,0.002,0.066,,
14.588,0.002,0.067,,
14.8,0.003,0.068,,
15.102,0.003,0.069,,
15.389,0.003,0.07,,
15.652,0.003,0.071,,
15.815,0.003,0.072,,
16.036,0.003,0.073,,
16.243,0.003,0.074,,
16.528,0.003,0.075,,
16.822,0.003,0.076,,
17.006,0.003,0.077,,
17.224,0.003,0.078,,
17.515,0.004,0.079,,
17.734,0.004,0.08,,
17.968,0.004,0.081,,
18.197,0.004,0.082,,
18.381,0.004,0.083,,
18.618,0.004,0.084,,
18.891,0.004,0.085,,
19.116,0.004,0.086,,
19.397,0.004,0.087,,
19.7,0.005,0.088,,
19.897,0.005,0.089,,
20.098,0.005,0.09,,
20.391,0.005,0.091,,
20.617,0.005,0.092,,
20.853,0.005,0.093,,
21.05,0.005,0.094,,
21.25,0.006,0.095,,
21.435,0.006,0.096,,
21.626,0.006,0.097,,
21.876,0.006,0.098,,
22.046,0.006,0.099,,
22.315,0.006,0.1,,
22.556,0.006,0.101,,
22.75,0.007,0.102,,
22.985,0.007,0.103,,
23.15,0.007,0.104,,
23.38,0.007,0.105,,
23.598,0.007,0.105,,
23.793,0.007,0.106,,
24.017,0.008,0.107,,
24.192,0.008,0.108,,
24.399,0.008,0.109,,
24.578,0.008,0.11,,
24.76,0.008,0.111,,
24.904,0.008,0.112,,
25.073,0.009,0.113,,
25.266,0.009,0.114,,
25.479,0.009,0.115,,
25.726,0.009,0.116,,
25.91,0.009,0.117,,
26.093,0.01,0.118,,
26.3,0.01,0.119,,
26.495,0.01,0.12,,
26.654,0.01,0.121,,
26.897,0.011,0.122,,
27.042,0.011,0.123,,
27.227,0.011,0.124,,
27.409,0.011,0.125,,
27.645,0.011,0.126,,
27.808,0.012,0.127,,
27.968,0.012,0.128,,
28.089,0.012,0.129,,
28.277,0.012,0.13,,
28.445,0.012,0.131,,
28.637,0.013,0.132,,
28.818,0.013,0.133,,
28.96,0.013,0.134,,
29.189,0.013,0.135,,
29.412,0.014,0.136,,
29.555,0.014,0.137,,
29.724,0.014,0.138,,
29.889,0.015,0.139,,
30.04,0.015,0.14,,
30.218,0.015,0.141,,
30.349,0.015,0.142,,
30.525,0.015,0.143,,
30.674,0.016,0.144,,
30.783,0.016,0.145,,
30.946,0.016,0.146,,
31.092,0.016,0.147,,
31.268,0.017,0.147,,
31.448,0.017,0.148,,
31.643,0.017,0.149,,
31.761,0.018,0.15,,
31.927,0.018,0.151,,
