   n, log_2(T), log_2(T)/n, ghf_BDD, ghf_UNIF
 380,   94.200,      0.248,   0.842,    0.842
 385,   95.100,      0.247,   0.843,    0.843
 390,   96.000,      0.246,   0.843,    0.843
 395,   96.800,      0.245,   0.844,    0.844
 400,   97.700,      0.244,   0.844,    0.844
 405,   98.600,      0.243,   0.845,    0.845
 410,   99.500,      0.243,   0.845,    0.845
 415,  100.300,      0.242,   0.846,    0.846
 420,  101.200,      0.241,   0.846,    0.846
 425,  102.100,      0.240,   0.847,    0.847
 430,  103.000,      0.240,   0.847,    0.847
 435,  103.800,      0.239,   0.848,    0.848
 440,  104.700,      0.238,   0.848,    0.848
 445,  105.600,      0.237,   0.848,    0.848
 450,  106.400,      0.236,   0.849,    0.849
 455,  107.300,      0.236,   0.849,    0.849
 460,  108.200,      0.235,   0.850,    0.850
 465,  109.000,      0.234,   0.850,    0.850
 470,  109.900,      0.234,   0.850,    0.850
 475,  110.800,      0.233,   0.851,    0.851
 480,  111.600,      0.233,   0.851,    0.851
 485,  112.500,      0.232,   0.852,    0.851
 490,  113.400,      0.231,   0.852,    0.852
 495,  114.200,      0.231,   0.852,    0.852
 500,  115.100,      0.230,   0.853,    0.853
