score,cdf_pred,cdf_real,metakey,metaval
,,,n,70
,,,N,21238
,,,log_samples,15
,,,gh_factor,0.7
,,,cores,4
,,,walltime,216.5359389639998
,,,cputime,36.991149898
,,,real_avg,600.9069046759207
,,,real_med,515.8720629688034
,,,real_var,170508.40866847575
,,,pred_avg,595.1108770403181
,,,pred_med,595.1108770403181
,,,pred_var,10602.116245134512
-214.585,0.0,0.0,,
-120.793,0.0,0.001,,
-85.892,0.0,0.002,,
-68.188,0.0,0.003,,
-56.719,0.0,0.004,,
-47.841,0.0,0.005,,
-36.613,0.0,0.006,,
-30.094,0.0,0.007,,
-24.699,0.0,0.008,,
-16.738,0.0,0.009,,
-8.407,0.0,0.01,,
-4.565,0.0,0.011,,
2.15,0.0,0.012,,
6.937,0.0,0.013,,
10.948,0.0,0.014,,
16.228,0.0,0.015,,
20.331,0.0,0.016,,
24.11,0.0,0.017,,
27.47,0.0,0.018,,
30.12,0.0,0.019,,
33.77,0.0,0.02,,
37.486,0.0,0.021,,
39.663,0.0,0.022,,
42.978,0.0,0.022,,
45.068,0.0,0.023,,
48.887,0.0,0.024,,
51.341,0.0,0.025,,
54.438,0.0,0.026,,
56.69,0.0,0.027,,
59.613,0.0,0.028,,
62.532,0.0,0.029,,
63.941,0.0,0.03,,
65.887,0.0,0.031,,
67.98,0.0,0.032,,
70.588,0.0,0.033,,
72.65,0.0,0.034,,
74.673,0.0,0.035,,
76.442,0.0,0.036,,
79.205,0.0,0.037,,
81.661,0.0,0.038,,
83.269,0.0,0.039,,
85.367,0.0,0.04,,
86.885,0.0,0.041,,
88.33,0.0,0.042,,
90.286,0.0,0.043,,
91.694,0.0,0.044,,
93.577,0.0,0.045,,
95.542,0.0,0.046,,
97.438,0.0,0.047,,
99.308,0.0,0.048,,
100.648,0.0,0.049,,
101.779,0.0,0.05,,
103.779,0.0,0.051,,
106.178,0.0,0.052,,
107.766,0.0,0.053,,
109.449,0.0,0.054,,
110.69,0.0,0.055,,
112.583,0.0,0.056,,
114.097,0.0,0.057,,
115.449,0.0,0.058,,
116.783,0.0,0.059,,
118.582,0.0,0.06,,
120.095,0.0,0.061,,
121.539,0.0,0.062,,
122.838,0.0,0.063,,
124.018,0.0,0.064,,
125.655,0.0,0.064,,
127.096,0.0,0.065,,
128.939,0.0,0.066,,
130.427,0.0,0.067,,
131.575,0.0,0.068,,
133.019,0.0,0.069,,
134.363,0.0,0.07,,
135.272,0.0,0.071,,
136.477,0.0,0.072,,
137.638,0.0,0.073,,
139.0,0.0,0.074,,
140.157,0.0,0.075,,
141.474,0.0,0.076,,
143.106,0.0,0.077,,
144.583,0.0,0.078,,
146.242,0.0,0.079,,
147.456,0.0,0.08,,
148.836,0.0,0.081,,
150.29,0.0,0.082,,
151.583,0.0,0.083,,
152.681,0.0,0.084,,
153.995,0.0,0.085,,
155.107,0.0,0.086,,
156.03,0.0,0.087,,
157.237,0.0,0.088,,
158.196,0.0,0.089,,
159.719,0.0,0.09,,
161.031,0.0,0.091,,
161.932,0.0,0.092,,
163.042,0.0,0.093,,
164.141,0.0,0.094,,
165.176,0.0,0.095,,
166.548,0.0,0.096,,
168.056,0.0,0.097,,
169.166,0.0,0.098,,
170.435,0.0,0.099,,
171.704,0.0,0.1,,
