score,log2_sf_pred,log2_sf_real,metakey,metaval
,,,n,45
,,,N,583
,,,fft,16
,,,enum,29
,,,cores,40
,,,walltime,15467.628117013723
,,,cputime,8.455100539
0,-1.0,-1.004,,
1,-1.069,-1.073,,
2,-1.141,-1.145,,
3,-1.217,-1.221,,
4,-1.296,-1.3,,
5,-1.378,-1.382,,
6,-1.463,-1.468,,
7,-1.553,-1.557,,
8,-1.645,-1.649,,
9,-1.742,-1.746,,
10,-1.841,-1.845,,
11,-1.945,-1.949,,
12,-2.052,-2.056,,
13,-2.164,-2.166,,
14,-2.279,-2.281,,
15,-2.397,-2.399,,
16,-2.52,-2.521,,
17,-2.647,-2.647,,
18,-2.777,-2.777,,
19,-2.912,-2.91,,
20,-3.05,-3.048,,
21,-3.193,-3.189,,
22,-3.34,-3.335,,
23,-3.491,-3.484,,
24,-3.646,-3.637,,
25,-3.805,-3.795,,
26,-3.968,-3.956,,
27,-4.136,-4.122,,
28,-4.307,-4.292,,
29,-4.484,-4.465,,
30,-4.664,-4.643,,
31,-4.849,-4.825,,
32,-5.038,-5.011,,
33,-5.231,-5.202,,
34,-5.429,-5.396,,
35,-5.631,-5.595,,
36,-5.837,-5.798,,
37,-6.048,-6.005,,
38,-6.263,-6.216,,
39,-6.483,-6.432,,
40,-6.707,-6.651,,
41,-6.936,-6.875,,
42,-7.169,-7.104,,
43,-7.407,-7.336,,
44,-7.649,-7.573,,
45,-7.896,-7.814,,
46,-8.147,-8.059,,
47,-8.403,-8.309,,
48,-8.663,-8.563,,
49,-8.928,-8.821,,
50,-9.198,-9.083,,
51,-9.472,-9.35,,
52,-9.751,-9.621,,
53,-10.034,-9.896,,
54,-10.322,-10.175,,
55,-10.614,-10.459,,
56,-10.912,-10.747,,
57,-11.214,-11.039,,
58,-11.52,-11.336,,
59,-11.831,-11.637,,
60,-12.147,-11.942,,
61,-12.467,-12.251,,
62,-12.793,-12.565,,
63,-13.122,-12.883,,
64,-13.457,-13.205,,
65,-13.796,-13.531,,
66,-14.14,-13.862,,
67,-14.489,-14.197,,
68,-14.842,-14.536,,
69,-15.2,-14.879,,
70,-15.563,-15.226,,
71,-15.93,-15.578,,
72,-16.302,-15.933,,
73,-16.679,-16.293,,
74,-17.061,-16.657,,
75,-17.447,-17.025,,
76,-17.839,-17.397,,
77,-18.235,-17.773,,
78,-18.635,-18.153,,
79,-19.041,-18.536,,
80,-19.451,-18.924,,
81,-19.866,-19.316,,
82,-20.286,-19.711,,
83,-20.71,-20.11,,
84,-21.14,-20.512,,
85,-21.574,-20.919,,
86,-22.013,-21.328,,
