score,log2_sf_pred,log2_sf_real,metakey,metaval
,,,n,60
,,,N,5040
,,,fft,17
,,,enum,28
,,,cores,40
,,,walltime,19595.040283506736
,,,cputime,19.569602508
0,-1.0,-1.001,,
1,-1.023,-1.024,,
2,-1.047,-1.048,,
3,-1.07,-1.071,,
4,-1.095,-1.096,,
5,-1.119,-1.12,,
6,-1.144,-1.145,,
7,-1.17,-1.171,,
8,-1.195,-1.196,,
9,-1.221,-1.222,,
10,-1.248,-1.249,,
11,-1.275,-1.276,,
12,-1.302,-1.303,,
13,-1.33,-1.331,,
14,-1.358,-1.359,,
15,-1.386,-1.387,,
16,-1.415,-1.416,,
17,-1.444,-1.446,,
18,-1.474,-1.475,,
19,-1.504,-1.505,,
20,-1.535,-1.536,,
21,-1.566,-1.567,,
22,-1.597,-1.598,,
23,-1.629,-1.63,,
24,-1.661,-1.662,,
25,-1.693,-1.694,,
26,-1.726,-1.727,,
27,-1.76,-1.761,,
28,-1.793,-1.794,,
29,-1.828,-1.829,,
30,-1.862,-1.863,,
31,-1.897,-1.898,,
32,-1.933,-1.934,,
33,-1.969,-1.97,,
34,-2.005,-2.006,,
35,-2.042,-2.043,,
36,-2.079,-2.08,,
37,-2.117,-2.118,,
38,-2.155,-2.156,,
39,-2.194,-2.194,,
40,-2.233,-2.233,,
41,-2.272,-2.273,,
42,-2.312,-2.312,,
43,-2.352,-2.353,,
44,-2.393,-2.393,,
45,-2.434,-2.435,,
46,-2.476,-2.476,,
47,-2.518,-2.518,,
48,-2.561,-2.561,,
49,-2.604,-2.604,,
50,-2.647,-2.647,,
51,-2.691,-2.691,,
52,-2.736,-2.736,,
53,-2.781,-2.78,,
54,-2.826,-2.826,,
55,-2.872,-2.871,,
56,-2.918,-2.918,,
57,-2.965,-2.964,,
58,-3.012,-3.011,,
59,-3.06,-3.059,,
60,-3.108,-3.107,,
61,-3.156,-3.155,,
62,-3.206,-3.204,,
63,-3.255,-3.254,,
64,-3.305,-3.304,,
65,-3.356,-3.354,,
66,-3.407,-3.405,,
67,-3.458,-3.456,,
68,-3.51,-3.508,,
69,-3.562,-3.561,,
70,-3.615,-3.613,,
71,-3.669,-3.667,,
72,-3.723,-3.72,,
73,-3.777,-3.775,,
74,-3.832,-3.829,,
75,-3.887,-3.884,,
76,-3.943,-3.94,,
77,-3.999,-3.996,,
78,-4.056,-4.053,,
79,-4.113,-4.11,,
80,-4.171,-4.167,,
81,-4.229,-4.226,,
82,-4.288,-4.284,,
83,-4.347,-4.343,,
84,-4.407,-4.403,,
85,-4.467,-4.463,,
86,-4.528,-4.523,,
87,-4.589,-4.584,,
88,-4.651,-4.646,,
89,-4.713,-4.708,,
90,-4.776,-4.77,,
91,-4.839,-4.833,,
92,-4.903,-4.897,,
93,-4.967,-4.961,,
94,-5.032,-5.025,,
95,-5.097,-5.09,,
96,-5.163,-5.156,,
97,-5.229,-5.222,,
98,-5.296,-5.288,,
99,-5.363,-5.355,,
100,-5.431,-5.423,,
101,-5.499,-5.49,,
102,-5.568,-5.559,,
103,-5.637,-5.628,,
104,-5.707,-5.697,,
105,-5.777,-5.767,,
106,-5.848,-5.838,,
107,-5.919,-5.909,,
108,-5.991,-5.98,,
109,-6.063,-6.052,,
110,-6.136,-6.125,,
111,-6.21,-6.198,,
112,-6.283,-6.271,,
113,-6.358,-6.345,,
114,-6.433,-6.42,,
115,-6.508,-6.495,,
116,-6.584,-6.571,,
117,-6.661,-6.647,,
118,-6.738,-6.723,,
119,-6.815,-6.8,,
120,-6.893,-6.878,,
121,-6.972,-6.956,,
122,-7.051,-7.035,,
123,-7.13,-7.114,,
124,-7.21,-7.193,,
125,-7.291,-7.274,,
126,-7.372,-7.354,,
127,-7.454,-7.435,,
128,-7.536,-7.517,,
129,-7.618,-7.599,,
130,-7.702,-7.682,,
131,-7.785,-7.765,,
132,-7.87,-7.849,,
133,-7.954,-7.933,,
134,-8.04,-8.018,,
135,-8.126,-8.104,,
136,-8.212,-8.189,,
137,-8.299,-8.276,,
138,-8.386,-8.363,,
139,-8.474,-8.45,,
140,-8.563,-8.538,,
141,-8.652,-8.626,,
142,-8.741,-8.715,,
143,-8.831,-8.805,,
144,-8.922,-8.895,,
145,-9.013,-8.985,,
146,-9.105,-9.076,,
147,-9.197,-9.168,,
148,-9.29,-9.26,,
149,-9.383,-9.353,,
150,-9.477,-9.446,,
151,-9.571,-9.539,,
152,-9.666,-9.634,,
153,-9.761,-9.728,,
154,-9.857,-9.824,,
155,-9.953,-9.919,,
156,-10.05,-10.016,,
157,-10.148,-10.112,,
158,-10.246,-10.21,,
159,-10.344,-10.308,,
160,-10.444,-10.406,,
161,-10.543,-10.505,,
162,-10.643,-10.604,,
163,-10.744,-10.704,,
164,-10.845,-10.805,,
165,-10.947,-10.906,,
166,-11.049,-11.007,,
167,-11.152,-11.109,,
168,-11.256,-11.212,,
169,-11.36,-11.315,,
170,-11.464,-11.419,,
171,-11.569,-11.523,,
172,-11.675,-11.628,,
173,-11.781,-11.733,,
174,-11.887,-11.839,,
175,-11.994,-11.945,,
176,-12.102,-12.052,,
177,-12.21,-12.159,,
178,-12.319,-12.267,,
179,-12.429,-12.375,,
180,-12.538,-12.484,,
181,-12.649,-12.594,,
182,-12.76,-12.704,,
183,-12.871,-12.814,,
184,-12.983,-12.925,,
185,-13.096,-13.037,,
186,-13.209,-13.149,,
187,-13.323,-13.262,,
188,-13.437,-13.375,,
189,-13.552,-13.489,,
190,-13.667,-13.603,,
191,-13.783,-13.718,,
192,-13.899,-13.833,,
193,-14.016,-13.949,,
194,-14.133,-14.065,,
195,-14.251,-14.182,,
196,-14.37,-14.3,,
197,-14.489,-14.418,,
198,-14.609,-14.536,,
199,-14.729,-14.655,,
200,-14.85,-14.775,,
201,-14.971,-14.895,,
202,-15.093,-15.016,,
203,-15.215,-15.137,,
204,-15.338,-15.258,,
205,-15.462,-15.381,,
206,-15.586,-15.503,,
207,-15.71,-15.627,,
208,-15.835,-15.751,,
209,-15.961,-15.875,,
210,-16.087,-16.0,,
211,-16.214,-16.125,,
212,-16.341,-16.251,,
213,-16.469,-16.378,,
214,-16.597,-16.505,,
215,-16.726,-16.633,,
216,-16.856,-16.761,,
217,-16.986,-16.889,,
218,-17.116,-17.018,,
219,-17.247,-17.148,,
220,-17.379,-17.278,,
221,-17.511,-17.409,,
222,-17.644,-17.541,,
223,-17.777,-17.672,,
224,-17.911,-17.805,,
225,-18.046,-17.938,,
226,-18.181,-18.071,,
227,-18.316,-18.205,,
228,-18.452,-18.34,,
229,-18.589,-18.475,,
230,-18.726,-18.61,,
231,-18.864,-18.747,,
232,-19.002,-18.883,,
233,-19.141,-19.021,,
234,-19.28,-19.158,,
235,-19.42,-19.297,,
236,-19.561,-19.435,,
237,-19.702,-19.575,,
238,-19.844,-19.715,,
239,-19.986,-19.855,,
240,-20.128,-19.996,,
241,-20.272,-20.137,,
242,-20.415,-20.28,,
243,-20.56,-20.422,,
244,-20.705,-20.565,,
