score,log2_sf_pred,log2_sf_real,metakey,metaval
,,,n,85
,,,N,183713
,,,fft,19
,,,enum,28
,,,cores,40
,,,walltime,461787.55806914344
,,,cputime,2034.313183796
0,-1.0,-1.0,,
1,-1.004,-1.004,,
2,-1.008,-1.008,,
3,-1.011,-1.012,,
4,-1.015,-1.015,,
5,-1.019,-1.019,,
6,-1.023,-1.023,,
7,-1.027,-1.027,,
8,-1.031,-1.031,,
9,-1.035,-1.035,,
10,-1.038,-1.039,,
11,-1.042,-1.043,,
12,-1.046,-1.046,,
13,-1.05,-1.05,,
14,-1.054,-1.054,,
15,-1.058,-1.058,,
16,-1.062,-1.062,,
17,-1.066,-1.066,,
18,-1.07,-1.07,,
19,-1.074,-1.074,,
20,-1.078,-1.078,,
21,-1.082,-1.082,,
22,-1.086,-1.086,,
23,-1.09,-1.09,,
24,-1.094,-1.094,,
25,-1.098,-1.098,,
26,-1.102,-1.102,,
27,-1.106,-1.106,,
28,-1.11,-1.11,,
29,-1.114,-1.115,,
30,-1.118,-1.119,,
31,-1.123,-1.123,,
32,-1.127,-1.127,,
33,-1.131,-1.131,,
34,-1.135,-1.135,,
35,-1.139,-1.139,,
36,-1.143,-1.143,,
37,-1.147,-1.148,,
38,-1.152,-1.152,,
39,-1.156,-1.156,,
40,-1.16,-1.16,,
41,-1.164,-1.164,,
42,-1.168,-1.169,,
43,-1.173,-1.173,,
44,-1.177,-1.177,,
45,-1.181,-1.181,,
46,-1.185,-1.186,,
47,-1.19,-1.19,,
48,-1.194,-1.194,,
49,-1.198,-1.198,,
50,-1.203,-1.203,,
51,-1.207,-1.207,,
52,-1.211,-1.211,,
53,-1.216,-1.216,,
54,-1.22,-1.22,,
55,-1.224,-1.224,,
56,-1.229,-1.229,,
57,-1.233,-1.233,,
58,-1.237,-1.238,,
59,-1.242,-1.242,,
60,-1.246,-1.246,,
61,-1.251,-1.251,,
62,-1.255,-1.255,,
63,-1.26,-1.26,,
64,-1.264,-1.264,,
65,-1.268,-1.269,,
66,-1.273,-1.273,,
67,-1.277,-1.278,,
68,-1.282,-1.282,,
69,-1.286,-1.287,,
70,-1.291,-1.291,,
71,-1.296,-1.296,,
72,-1.3,-1.3,,
73,-1.305,-1.305,,
74,-1.309,-1.309,,
75,-1.314,-1.314,,
76,-1.318,-1.318,,
77,-1.323,-1.323,,
78,-1.328,-1.328,,
79,-1.332,-1.332,,
