score,cdf_pred,cdf_real,metakey,metaval
,,,n,60
,,,N,5040
,,,log_samples,15
,,,gh_factor,0.7
,,,cores,4
,,,walltime,50.05396778500108
,,,cputime,3.9903812720000005
,,,real_avg,223.75022732051622
,,,real_med,198.21135164968354
,,,real_var,21890.910020743664
,,,pred_avg,222.49980875914878
,,,pred_med,222.49980875914878
,,,pred_var,2510.034698436122
-113.372,0.0,0.0,,
-65.249,0.0,0.001,,
-51.72,0.0,0.002,,
-42.324,0.0,0.003,,
-36.345,0.0,0.004,,
-32.097,0.0,0.005,,
-27.612,0.0,0.006,,
-23.598,0.0,0.007,,
-21.062,0.0,0.008,,
-17.902,0.0,0.009,,
-14.72,0.0,0.01,,
-12.467,0.0,0.011,,
-10.328,0.0,0.012,,
-8.573,0.0,0.013,,
-6.616,0.0,0.014,,
-4.663,0.0,0.015,,
-2.799,0.0,0.016,,
-1.184,0.0,0.017,,
0.217,0.0,0.018,,
1.542,0.0,0.019,,
3.587,0.0,0.02,,
4.846,0.0,0.021,,
6.525,0.0,0.022,,
7.664,0.0,0.022,,
8.728,0.0,0.023,,
9.765,0.0,0.024,,
11.114,0.0,0.025,,
12.175,0.0,0.026,,
13.607,0.0,0.027,,
14.81,0.0,0.028,,
15.946,0.0,0.029,,
16.779,0.0,0.03,,
18.09,0.0,0.031,,
18.974,0.0,0.032,,
20.003,0.0,0.033,,
21.291,0.0,0.034,,
22.372,0.0,0.035,,
23.305,0.0,0.036,,
24.136,0.0,0.037,,
24.722,0.0,0.038,,
25.5,0.0,0.039,,
26.467,0.0,0.04,,
27.151,0.0,0.041,,
28.096,0.0,0.042,,
28.881,0.0,0.043,,
29.725,0.0,0.044,,
30.406,0.0,0.045,,
31.102,0.0,0.046,,
31.964,0.0,0.047,,
32.853,0.0,0.048,,
33.696,0.0,0.049,,
34.365,0.0,0.05,,
35.114,0.0,0.051,,
35.877,0.0,0.052,,
36.518,0.0,0.053,,
37.185,0.0,0.054,,
37.942,0.0,0.055,,
38.751,0.0,0.056,,
39.335,0.0,0.057,,
40.024,0.0,0.058,,
40.681,0.0,0.059,,
41.338,0.0,0.06,,
41.884,0.0,0.061,,
42.443,0.0,0.062,,
43.185,0.0,0.063,,
43.782,0.0,0.064,,
44.405,0.0,0.064,,
45.07,0.0,0.065,,
45.582,0.0,0.066,,
46.141,0.0,0.067,,
46.719,0.0,0.068,,
47.235,0.0,0.069,,
47.978,0.0,0.07,,
48.666,0.0,0.071,,
49.073,0.0,0.072,,
49.568,0.0,0.073,,
50.145,0.0,0.074,,
50.627,0.0,0.075,,
51.153,0.0,0.076,,
51.899,0.0,0.077,,
52.276,0.0,0.078,,
53.026,0.0,0.079,,
53.713,0.0,0.08,,
54.132,0.0,0.081,,
54.629,0.0,0.082,,
55.079,0.0,0.083,,
55.531,0.0,0.084,,
56.136,0.0,0.085,,
56.62,0.0,0.086,,
57.151,0.0,0.087,,
57.589,0.0,0.088,,
58.031,0.001,0.089,,
58.436,0.001,0.09,,
58.947,0.001,0.091,,
59.333,0.001,0.092,,
59.876,0.001,0.093,,
60.369,0.001,0.094,,
60.929,0.001,0.095,,
61.4,0.001,0.096,,
62.012,0.001,0.097,,
62.383,0.001,0.098,,
62.712,0.001,0.099,,
63.167,0.001,0.1,,
63.582,0.001,0.101,,
63.909,0.001,0.102,,
64.312,0.001,0.103,,
64.747,0.001,0.104,,
65.23,0.001,0.105,,
65.901,0.001,0.105,,
66.245,0.001,0.106,,
66.675,0.001,0.107,,
67.088,0.001,0.108,,
67.552,0.001,0.109,,
67.981,0.001,0.11,,
68.45,0.001,0.111,,
69.0,0.001,0.112,,
69.426,0.001,0.113,,
69.835,0.001,0.114,,
70.235,0.001,0.115,,
70.663,0.001,0.116,,
71.005,0.001,0.117,,
71.475,0.001,0.118,,
71.911,0.001,0.119,,
72.339,0.001,0.12,,
72.807,0.001,0.121,,
73.285,0.001,0.122,,
73.726,0.001,0.123,,
74.155,0.002,0.124,,
74.546,0.002,0.125,,
74.886,0.002,0.126,,
75.323,0.002,0.127,,
75.9,0.002,0.128,,
76.366,0.002,0.129,,
76.895,0.002,0.13,,
77.444,0.002,0.131,,
77.883,0.002,0.132,,
78.259,0.002,0.133,,
78.687,0.002,0.134,,
79.206,0.002,0.135,,
79.622,0.002,0.136,,
80.016,0.002,0.137,,
80.424,0.002,0.138,,
80.706,0.002,0.139,,
81.133,0.002,0.14,,
81.626,0.002,0.141,,
82.099,0.003,0.142,,
82.541,0.003,0.143,,
82.968,0.003,0.144,,
83.337,0.003,0.145,,
83.779,0.003,0.146,,
84.134,0.003,0.147,,
84.494,0.003,0.147,,
84.836,0.003,0.148,,
85.184,0.003,0.149,,
85.561,0.003,0.15,,
86.017,0.003,0.151,,
86.358,0.003,0.152,,
86.593,0.003,0.153,,
87.02,0.003,0.154,,
87.412,0.004,0.155,,
87.74,0.004,0.156,,
88.121,0.004,0.157,,
88.444,0.004,0.158,,
88.7,0.004,0.159,,
89.074,0.004,0.16,,
89.425,0.004,0.161,,
89.702,0.004,0.162,,
90.172,0.004,0.163,,
90.607,0.004,0.164,,
90.893,0.004,0.165,,
91.242,0.004,0.166,,
91.707,0.005,0.167,,
92.052,0.005,0.168,,
92.403,0.005,0.169,,
92.689,0.005,0.17,,
93.049,0.005,0.171,,
93.442,0.005,0.172,,
93.929,0.005,0.173,,
94.409,0.005,0.174,,
94.753,0.005,0.175,,
95.088,0.005,0.176,,
95.379,0.006,0.177,,
95.731,0.006,0.178,,
96.094,0.006,0.179,,
96.363,0.006,0.18,,
96.771,0.006,0.181,,
97.07,0.006,0.182,,
97.497,0.006,0.183,,
97.846,0.006,0.184,,
98.148,0.007,0.185,,
98.4,0.007,0.186,,
98.681,0.007,0.187,,
99.109,0.007,0.188,,
99.471,0.007,0.189,,
99.768,0.007,0.189,,
100.159,0.007,0.19,,
100.436,0.007,0.191,,
100.704,0.008,0.192,,
101.12,0.008,0.193,,
101.462,0.008,0.194,,
101.733,0.008,0.195,,
102.058,0.008,0.196,,
102.399,0.008,0.197,,
102.759,0.008,0.198,,
103.096,0.009,0.199,,
103.351,0.009,0.2,,
103.642,0.009,0.201,,
103.987,0.009,0.202,,
104.283,0.009,0.203,,
104.677,0.009,0.204,,
105.087,0.01,0.205,,
105.378,0.01,0.206,,
105.687,0.01,0.207,,
106.144,0.01,0.208,,
106.409,0.01,0.209,,
106.699,0.01,0.21,,
107.038,0.011,0.211,,
107.433,0.011,0.212,,
107.799,0.011,0.213,,
108.072,0.011,0.214,,
108.441,0.011,0.215,,
108.719,0.012,0.216,,
109.046,0.012,0.217,,
109.295,0.012,0.218,,
109.71,0.012,0.219,,
109.928,0.012,0.22,,
110.256,0.013,0.221,,
110.573,0.013,0.222,,
110.866,0.013,0.223,,
111.149,0.013,0.224,,
111.502,0.013,0.225,,
111.898,0.014,0.226,,
112.22,0.014,0.227,,
112.544,0.014,0.228,,
112.844,0.014,0.229,,
113.122,0.015,0.23,,
113.457,0.015,0.23,,
