-5.99,	 0,	 1
-5.98,	 0,	 5
-5.97,	 0,	 5
-5.96,	 1,	 9
-5.95,	 0,	 7
-5.94,	 1,	 15
-5.93,	 1,	 18
-5.92,	 3,	 24
-5.91,	 7,	 27
-5.90,	 3,	 24
-5.89,	 9,	 46
-5.88,	 9,	 53
-5.87,	 10,	 49
-5.86,	 19,	 69
-5.85,	 17,	 57
-5.84,	 11,	 60
-5.83,	 12,	 78
-5.82,	 27,	 75
-5.81,	 22,	 75
-5.80,	 26,	 103
-5.79,	 32,	 95
-5.78,	 29,	 99
-5.77,	 38,	 128
-5.76,	 28,	 136
-5.75,	 46,	 151
-5.74,	 50,	 148
-5.73,	 70,	 157
-5.72,	 53,	 178
-5.71,	 50,	 152
-5.70,	 65,	 176
-5.69,	 76,	 193
-5.68,	 79,	 186
-5.67,	 88,	 231
-5.66,	 86,	 217
-5.65,	 99,	 249
-5.64,	 101,	 236
-5.63,	 105,	 272
-5.62,	 110,	 293
-5.61,	 95,	 260
-5.60,	 96,	 291
-5.59,	 123,	 292
-5.58,	 134,	 313
-5.57,	 150,	 308
-5.56,	 162,	 337
-5.55,	 148,	 352
-5.54,	 155,	 358
-5.53,	 185,	 388
-5.52,	 203,	 384
-5.51,	 178,	 381
-5.50,	 174,	 420
-5.49,	 217,	 446
-5.48,	 174,	 431
-5.47,	 233,	 424
-5.46,	 229,	 492
-5.45,	 241,	 455
-5.44,	 224,	 488
-5.43,	 241,	 542
-5.42,	 271,	 552
-5.41,	 272,	 516
-5.40,	 294,	 590
-5.39,	 260,	 568
-5.38,	 305,	 612
-5.37,	 345,	 618
-5.36,	 335,	 622
-5.35,	 326,	 618
-5.34,	 328,	 636
-5.33,	 354,	 616
-5.32,	 396,	 667
-5.31,	 392,	 719
-5.30,	 389,	 765
-5.29,	 375,	 720
-5.28,	 411,	 755
-5.27,	 455,	 784
-5.26,	 448,	 801
-5.25,	 450,	 788
-5.24,	 470,	 845
-5.23,	 524,	 895
-5.22,	 524,	 892
-5.21,	 517,	 872
-5.20,	 526,	 891
-5.19,	 538,	 872
-5.18,	 544,	 923
-5.17,	 568,	 945
-5.16,	 604,	 930
-5.15,	 583,	 961
-5.14,	 675,	 1023
-5.13,	 635,	 1009
-5.12,	 640,	 1018
-5.11,	 681,	 1069
-5.10,	 675,	 1096
-5.09,	 712,	 1084
-5.08,	 772,	 1142
-5.07,	 775,	 1137
-5.06,	 785,	 1187
-5.05,	 790,	 1185
-5.04,	 769,	 1198
-5.03,	 846,	 1232
-5.02,	 878,	 1271
-5.01,	 899,	 1313
-5.00,	 862,	 1313
-4.99,	 860,	 1337
-4.98,	 913,	 1361
-4.97,	 983,	 1402
-4.96,	 970,	 1382
-4.95,	 957,	 1450
-4.94,	 1068,	 1422
-4.93,	 1081,	 1496
-4.92,	 1053,	 1495
-4.91,	 1095,	 1490
-4.90,	 1121,	 1570
-4.89,	 1204,	 1543
-4.88,	 1033,	 1610
-4.87,	 1242,	 1613
-4.86,	 1247,	 1686
-4.85,	 1199,	 1665
-4.84,	 1212,	 1716
-4.83,	 1295,	 1782
-4.82,	 1279,	 1767
-4.81,	 1311,	 1743
-4.80,	 1349,	 1805
-4.79,	 1412,	 1819
-4.78,	 1452,	 1863
-4.77,	 1448,	 1899
-4.76,	 1502,	 1884
-4.75,	 1507,	 1929
-4.74,	 1610,	 1946
-4.73,	 1605,	 1905
-4.72,	 1592,	 1966
-4.71,	 1572,	 2067
-4.70,	 1618,	 2079
-4.69,	 1649,	 2101
-4.68,	 1737,	 2157
-4.67,	 1672,	 2162
-4.66,	 1822,	 2185
-4.65,	 1835,	 2190
-4.64,	 1919,	 2275
-4.63,	 1886,	 2331
-4.62,	 1908,	 2282
-4.61,	 1858,	 2439
-4.60,	 2086,	 2418
-4.59,	 2026,	 2381
-4.58,	 2091,	 2499
-4.57,	 2065,	 2494
-4.56,	 2163,	 2530
-4.55,	 2237,	 2501
-4.54,	 2179,	 2581
-4.53,	 2269,	 2624
-4.52,	 2279,	 2726
-4.51,	 2287,	 2709
-4.50,	 2429,	 2679
-4.49,	 2396,	 2732
-4.48,	 2480,	 2826
-4.47,	 2505,	 2859
-4.46,	 2567,	 2904
-4.45,	 2739,	 2941
-4.44,	 2670,	 3100
-4.43,	 2722,	 3028
-4.42,	 2717,	 2968
-4.41,	 2750,	 2980
-4.40,	 2852,	 3143
-4.39,	 2921,	 3145
-4.38,	 2902,	 3199
-4.37,	 3012,	 3224
-4.36,	 3009,	 3292
-4.35,	 3078,	 3213
-4.34,	 3103,	 3437
-4.33,	 3217,	 3442
-4.32,	 3218,	 3406
-4.31,	 3278,	 3481
-4.30,	 3170,	 3490
-4.29,	 3398,	 3547
-4.28,	 3373,	 3545
-4.27,	 3433,	 3656
-4.26,	 3625,	 3760
-4.25,	 3622,	 3676
-4.24,	 3693,	 3708
-4.23,	 3801,	 3808
-4.22,	 3777,	 3772
-4.21,	 3897,	 3969
-4.20,	 3937,	 3972
-4.19,	 3910,	 4003
-4.18,	 4092,	 3986
-4.17,	 4018,	 4200
-4.16,	 4047,	 4103
-4.15,	 4158,	 4158
-4.14,	 4212,	 4302
-4.13,	 4276,	 4336
-4.12,	 4320,	 4335
-4.11,	 4582,	 4456
-4.10,	 4641,	 4368
-4.09,	 4655,	 4408
-4.08,	 4657,	 4565
-4.07,	 4666,	 4544
-4.06,	 4796,	 4711
-4.05,	 4837,	 4663
-4.04,	 5157,	 4637
-4.03,	 5089,	 4687
-4.02,	 5116,	 4907
-4.01,	 5169,	 4777
-4.00,	 5407,	 4856
-3.99,	 5395,	 4910
-3.98,	 5434,	 5079
-3.97,	 5584,	 5089
-3.96,	 5647,	 5124
-3.95,	 5688,	 5197
-3.94,	 5774,	 5208
-3.93,	 5978,	 5372
-3.92,	 5988,	 5399
-3.91,	 6145,	 5336
-3.90,	 6219,	 5474
-3.89,	 6247,	 5741
-3.88,	 6267,	 5644
-3.87,	 6417,	 5640
-3.86,	 6579,	 5647
-3.85,	 6632,	 5755
-3.84,	 6710,	 5711
-3.83,	 6897,	 6012
-3.82,	 6904,	 6006
-3.81,	 7107,	 6037
-3.80,	 7216,	 6178
-3.79,	 7285,	 6200
-3.78,	 7284,	 6284
-3.77,	 7421,	 6374
-3.76,	 7571,	 6533
-3.75,	 7767,	 6497
-3.74,	 7940,	 6431
-3.73,	 7754,	 6625
-3.72,	 8102,	 6573
-3.71,	 8199,	 6708
-3.70,	 8214,	 6699
-3.69,	 8185,	 6819
-3.68,	 8365,	 6882
-3.67,	 8492,	 6918
-3.66,	 8801,	 7113
-3.65,	 8929,	 7038
-3.64,	 9118,	 7301
-3.63,	 9242,	 7317
-3.62,	 9150,	 7333
-3.61,	 9472,	 7311
-3.60,	 9363,	 7658
-3.59,	 9529,	 7490
-3.58,	 9690,	 7553
-3.57,	 9967,	 7757
-3.56,	 9955,	 7812
-3.55,	 10297,	 7877
-3.54,	 10433,	 8007
-3.53,	 10450,	 7995
-3.52,	 10449,	 8175
-3.51,	 10766,	 8124
-3.50,	 10755,	 8243
-3.49,	 10870,	 8275
-3.48,	 11174,	 8429
-3.47,	 11468,	 8241
-3.46,	 11321,	 8615
-3.45,	 11325,	 8537
-3.44,	 11738,	 8854
-3.43,	 11636,	 8913
-3.42,	 11710,	 9120
-3.41,	 12154,	 8913
-3.40,	 12125,	 9065
-3.39,	 12399,	 9258
-3.38,	 12429,	 9364
-3.37,	 12509,	 9513
-3.36,	 12835,	 9645
-3.35,	 13003,	 9577
-3.34,	 13136,	 9773
-3.33,	 13275,	 9879
-3.32,	 13269,	 9841
-3.31,	 13388,	 9969
-3.30,	 13833,	 10047
-3.29,	 13886,	 10204
-3.28,	 13960,	 10027
-3.27,	 13975,	 10457
-3.26,	 14258,	 10648
-3.25,	 14412,	 10720
-3.24,	 14680,	 10992
-3.23,	 14716,	 10777
-3.22,	 14808,	 10953
-3.21,	 15139,	 11088
-3.20,	 15307,	 11179
-3.19,	 15318,	 11309
