score,log2_sf_pred,log2_sf_real,metakey,metaval
,,,n,50
,,,N,1196
,,,fft,17
,,,enum,28
,,,cores,40
,,,walltime,16418.089564958587
,,,cputime,10.660862922
0,-1.0,-1.003,,
1,-1.048,-1.051,,
2,-1.097,-1.101,,
3,-1.148,-1.152,,
4,-1.201,-1.204,,
5,-1.255,-1.258,,
6,-1.311,-1.314,,
7,-1.368,-1.372,,
8,-1.427,-1.431,,
9,-1.488,-1.492,,
10,-1.551,-1.554,,
11,-1.615,-1.619,,
12,-1.681,-1.685,,
13,-1.749,-1.752,,
14,-1.819,-1.822,,
15,-1.89,-1.893,,
16,-1.963,-1.966,,
17,-2.038,-2.041,,
18,-2.115,-2.117,,
19,-2.194,-2.196,,
20,-2.274,-2.276,,
21,-2.357,-2.358,,
22,-2.441,-2.442,,
23,-2.527,-2.528,,
24,-2.615,-2.616,,
25,-2.705,-2.705,,
26,-2.797,-2.797,,
27,-2.891,-2.89,,
28,-2.987,-2.985,,
29,-3.085,-3.083,,
30,-3.185,-3.182,,
31,-3.287,-3.283,,
32,-3.391,-3.386,,
33,-3.497,-3.491,,
34,-3.605,-3.598,,
35,-3.714,-3.707,,
36,-3.826,-3.818,,
37,-3.94,-3.931,,
38,-4.056,-4.046,,
39,-4.175,-4.163,,
40,-4.295,-4.282,,
41,-4.417,-4.403,,
42,-4.541,-4.526,,
43,-4.668,-4.651,,
44,-4.796,-4.778,,
45,-4.927,-4.907,,
46,-5.06,-5.038,,
47,-5.195,-5.171,,
48,-5.332,-5.306,,
49,-5.471,-5.443,,
50,-5.612,-5.583,,
51,-5.756,-5.724,,
52,-5.901,-5.868,,
53,-6.049,-6.013,,
54,-6.199,-6.161,,
55,-6.351,-6.31,,
56,-6.505,-6.462,,
57,-6.661,-6.616,,
58,-6.82,-6.772,,
59,-6.981,-6.93,,
60,-7.144,-7.09,,
61,-7.309,-7.252,,
62,-7.476,-7.417,,
63,-7.646,-7.583,,
64,-7.817,-7.752,,
65,-7.991,-7.922,,
66,-8.168,-8.095,,
67,-8.346,-8.27,,
68,-8.526,-8.447,,
69,-8.709,-8.626,,
70,-8.894,-8.807,,
71,-9.082,-8.99,,
72,-9.271,-9.176,,
73,-9.463,-9.363,,
74,-9.657,-9.553,,
75,-9.853,-9.745,,
76,-10.052,-9.939,,
77,-10.252,-10.135,,
78,-10.455,-10.333,,
79,-10.661,-10.533,,
80,-10.868,-10.736,,
81,-11.078,-10.94,,
82,-11.29,-11.147,,
83,-11.504,-11.356,,
84,-11.721,-11.567,,
85,-11.94,-11.78,,
86,-12.161,-11.995,,
87,-12.384,-12.212,,
88,-12.61,-12.432,,
89,-12.838,-12.653,,
90,-13.068,-12.877,,
91,-13.301,-13.103,,
92,-13.535,-13.331,,
93,-13.772,-13.561,,
94,-14.012,-13.793,,
95,-14.254,-14.028,,
96,-14.498,-14.264,,
97,-14.744,-14.503,,
98,-14.992,-14.744,,
99,-15.243,-14.987,,
100,-15.496,-15.232,,
101,-15.752,-15.479,,
102,-16.01,-15.728,,
103,-16.27,-15.979,,
104,-16.532,-16.233,,
105,-16.797,-16.488,,
106,-17.064,-16.746,,
107,-17.333,-17.006,,
108,-17.605,-17.268,,
109,-17.879,-17.532,,
110,-18.155,-17.798,,
111,-18.434,-18.066,,
112,-18.715,-18.336,,
113,-18.998,-18.609,,
114,-19.283,-18.883,,
115,-19.571,-19.16,,
116,-19.861,-19.438,,
117,-20.154,-19.719,,
118,-20.449,-20.001,,
119,-20.746,-20.286,,
120,-21.046,-20.573,,
121,-21.347,-20.862,,
122,-21.652,-21.152,,
123,-21.958,-21.445,,
124,-22.267,-21.74,,
125,-22.578,-22.036,,
126,-22.892,-22.335,,
127,-23.208,-22.635,,
128,-23.526,-22.938,,
129,-23.846,-23.242,,
130,-24.169,-23.548,,
131,-24.494,-23.856,,
132,-24.822,-24.166,,
133,-25.152,-24.476,,
134,-25.484,-24.787,,
135,-25.819,-25.102,,
136,-26.156,-25.417,,
137,-26.495,-25.734,,
138,-26.837,-26.053,,
139,-27.181,-26.373,,
140,-27.527,-26.695,,
141,-27.876,-27.017,,
142,-28.227,-27.338,,
143,-28.58,-27.66,,
144,-28.936,-27.98,,
145,-29.294,-28.306,,
146,-29.654,-28.628,,
147,-30.017,-28.949,,
148,-30.382,-29.267,,
149,-30.75,-29.586,,
150,-31.12,-29.903,,
151,-31.492,-30.217,,
152,-31.866,-30.53,,
153,-32.243,-30.831,,
154,-32.623,-31.136,,
155,-33.004,-31.428,,
156,-33.388,-31.723,,
157,-33.775,-32.008,,
158,-34.163,-32.302,,
159,-34.555,-32.59,,
160,-34.948,-32.851,,
161,-35.344,-33.111,,
162,-35.742,-33.358,,
163,-36.143,-33.593,,
163.848,-36.484,-33.781,,
