-7.87,	 0,	 2
-7.86,	 0,	 1
-7.84,	 0,	 1
-7.83,	 0,	 1
-7.82,	 0,	 3
-7.81,	 0,	 2
-7.80,	 0,	 2
-7.79,	 0,	 3
-7.77,	 1,	 0
-7.76,	 2,	 3
-7.75,	 2,	 1
-7.74,	 2,	 2
-7.73,	 2,	 4
-7.72,	 1,	 6
-7.71,	 1,	 4
-7.70,	 2,	 5
-7.69,	 2,	 2
-7.68,	 4,	 4
-7.67,	 0,	 4
-7.66,	 0,	 2
-7.65,	 2,	 2
-7.64,	 3,	 4
-7.63,	 1,	 6
-7.62,	 4,	 6
-7.61,	 1,	 3
-7.60,	 3,	 8
-7.59,	 4,	 9
-7.58,	 1,	 7
-7.57,	 5,	 12
-7.56,	 5,	 12
-7.55,	 3,	 10
-7.54,	 1,	 11
-7.53,	 5,	 8
-7.52,	 5,	 8
-7.51,	 4,	 14
-7.50,	 8,	 9
-7.49,	 6,	 12
-7.48,	 5,	 14
-7.47,	 5,	 11
-7.46,	 9,	 9
-7.45,	 7,	 16
-7.44,	 6,	 15
-7.43,	 8,	 23
-7.42,	 7,	 23
-7.41,	 9,	 24
-7.40,	 8,	 14
-7.39,	 10,	 17
-7.38,	 13,	 17
-7.37,	 9,	 19
-7.36,	 15,	 26
-7.35,	 8,	 11
-7.34,	 11,	 19
-7.33,	 7,	 28
-7.32,	 11,	 32
-7.31,	 13,	 22
-7.30,	 15,	 37
-7.29,	 15,	 32
-7.28,	 8,	 25
-7.27,	 16,	 31
-7.26,	 11,	 46
-7.25,	 19,	 39
-7.24,	 25,	 38
-7.23,	 19,	 46
-7.22,	 14,	 36
-7.21,	 22,	 37
-7.20,	 19,	 51
-7.19,	 24,	 40
-7.18,	 25,	 37
-7.17,	 27,	 49
-7.16,	 29,	 45
-7.15,	 23,	 37
-7.14,	 28,	 51
-7.13,	 34,	 32
-7.12,	 28,	 49
-7.11,	 32,	 42
-7.10,	 26,	 48
-7.09,	 34,	 64
-7.08,	 42,	 56
-7.07,	 39,	 66
-7.06,	 43,	 65
-7.05,	 34,	 63
-7.04,	 40,	 47
-7.03,	 43,	 76
-7.02,	 41,	 73
-7.01,	 54,	 73
-7.00,	 48,	 75
-6.99,	 46,	 66
-6.98,	 44,	 92
-6.97,	 61,	 70
-6.96,	 51,	 79
-6.95,	 53,	 90
-6.94,	 74,	 94
-6.93,	 68,	 80
-6.92,	 57,	 91
-6.91,	 61,	 90
-6.90,	 66,	 88
-6.89,	 70,	 118
-6.88,	 55,	 103
-6.87,	 83,	 117
-6.86,	 64,	 96
-6.85,	 69,	 99
-6.84,	 72,	 122
-6.83,	 73,	 118
-6.82,	 73,	 142
-6.81,	 81,	 117
-6.80,	 90,	 115
-6.79,	 88,	 127
-6.78,	 75,	 108
-6.77,	 96,	 126
-6.76,	 93,	 133
-6.75,	 117,	 118
-6.74,	 86,	 147
-6.73,	 110,	 122
-6.72,	 102,	 145
-6.71,	 112,	 155
-6.70,	 124,	 152
-6.69,	 108,	 170
-6.68,	 129,	 146
-6.67,	 119,	 181
-6.66,	 127,	 178
-6.65,	 123,	 155
-6.64,	 118,	 153
-6.63,	 135,	 164
-6.62,	 152,	 158
-6.61,	 162,	 188
-6.60,	 163,	 205
-6.59,	 144,	 169
-6.58,	 130,	 170
-6.57,	 131,	 181
-6.56,	 179,	 197
-6.55,	 174,	 181
-6.54,	 175,	 191
-6.53,	 180,	 204
-6.52,	 161,	 236
-6.51,	 194,	 218
-6.50,	 177,	 226
-6.49,	 166,	 252
-6.48,	 180,	 235
-6.47,	 203,	 224
-6.46,	 187,	 242
-6.45,	 210,	 262
-6.44,	 230,	 246
-6.43,	 227,	 292
-6.42,	 223,	 247
-6.41,	 200,	 280
-6.40,	 257,	 244
-6.39,	 227,	 255
-6.38,	 238,	 266
-6.37,	 227,	 292
-6.36,	 251,	 277
-6.35,	 253,	 290
-6.34,	 267,	 329
-6.33,	 273,	 317
-6.32,	 264,	 333
-6.31,	 268,	 339
-6.30,	 253,	 339
-6.29,	 318,	 354
-6.28,	 302,	 344
-6.27,	 286,	 317
-6.26,	 282,	 370
-6.25,	 361,	 349
-6.24,	 326,	 401
-6.23,	 342,	 388
-6.22,	 342,	 359
-6.21,	 380,	 408
-6.20,	 383,	 417
-6.19,	 375,	 401
-6.18,	 355,	 440
-6.17,	 418,	 384
-6.16,	 375,	 389
-6.15,	 359,	 421
-6.14,	 367,	 425
-6.13,	 404,	 456
-6.12,	 362,	 459
-6.11,	 449,	 471
-6.10,	 414,	 441
-6.09,	 441,	 493
-6.08,	 442,	 515
-6.07,	 482,	 438
-6.06,	 461,	 527
-6.05,	 469,	 485
-6.04,	 500,	 553
-6.03,	 557,	 496
-6.02,	 512,	 536
-6.01,	 549,	 527
-6.00,	 554,	 511
-5.99,	 520,	 584
-5.98,	 534,	 546
-5.97,	 586,	 566
-5.96,	 550,	 570
-5.95,	 563,	 610
-5.94,	 589,	 593
-5.93,	 620,	 617
-5.92,	 648,	 617
-5.91,	 627,	 649
-5.90,	 647,	 625
-5.89,	 646,	 598
-5.88,	 659,	 649
-5.87,	 715,	 657
-5.86,	 731,	 676
-5.85,	 732,	 705
-5.84,	 677,	 699
-5.83,	 657,	 731
-5.82,	 760,	 715
-5.81,	 721,	 695
-5.80,	 805,	 742
-5.79,	 757,	 779
-5.78,	 801,	 782
-5.77,	 766,	 722
-5.76,	 861,	 790
-5.75,	 903,	 771
-5.74,	 866,	 842
-5.73,	 894,	 758
-5.72,	 926,	 813
-5.71,	 900,	 871
-5.70,	 923,	 863
-5.69,	 971,	 872
-5.68,	 994,	 846
-5.67,	 1009,	 909
-5.66,	 986,	 913
-5.65,	 1036,	 931
-5.64,	 1010,	 897
-5.63,	 975,	 966
-5.62,	 1050,	 963
-5.61,	 1095,	 915
-5.60,	 1102,	 1032
-5.59,	 1106,	 1033
-5.58,	 1146,	 1007
-5.57,	 1131,	 989
-5.56,	 1181,	 1033
-5.55,	 1191,	 1077
-5.54,	 1205,	 1105
-5.53,	 1246,	 1073
-5.52,	 1264,	 1180
-5.51,	 1328,	 1090
-5.50,	 1301,	 1185
-5.49,	 1315,	 1087
-5.48,	 1451,	 1180
-5.47,	 1367,	 1159
-5.46,	 1389,	 1196
-5.45,	 1442,	 1222
-5.44,	 1478,	 1248
-5.43,	 1457,	 1232
-5.42,	 1506,	 1254
-5.41,	 1499,	 1377
-5.40,	 1618,	 1322
-5.39,	 1599,	 1424
-5.38,	 1698,	 1280
-5.37,	 1555,	 1394
-5.36,	 1677,	 1475
-5.35,	 1719,	 1430
-5.34,	 1664,	 1485
-5.33,	 1800,	 1489
-5.32,	 1771,	 1500
-5.31,	 1762,	 1549
-5.30,	 1896,	 1506
-5.29,	 1812,	 1501
-5.28,	 1862,	 1571
-5.27,	 1885,	 1533
-5.26,	 1863,	 1625
-5.25,	 1928,	 1593
-5.24,	 1999,	 1618
-5.23,	 1964,	 1716
-5.22,	 2103,	 1758
-5.21,	 1997,	 1730
-5.20,	 2045,	 1817
-5.19,	 2134,	 1877
-5.18,	 2145,	 1829
-5.17,	 2124,	 1913
-5.16,	 2332,	 1879
-5.15,	 2319,	 1955
-5.14,	 2323,	 1921
-5.13,	 2312,	 1960
-5.12,	 2377,	 2032
-5.11,	 2420,	 2045
-5.10,	 2445,	 2039
-5.09,	 2433,	 2066
-5.08,	 2706,	 2143
-5.07,	 2507,	 2242
-5.06,	 2613,	 2211
-5.05,	 2657,	 2253
-5.04,	 2649,	 2334
-5.03,	 2780,	 2487
-5.02,	 2840,	 2333
-5.01,	 2727,	 2496
-5.00,	 2755,	 2499
-4.99,	 2968,	 2502
-4.98,	 2790,	 2517
-4.97,	 2926,	 2622
-4.96,	 3056,	 2641
-4.95,	 3000,	 2689
-4.94,	 3060,	 2628
-4.93,	 3073,	 2744
-4.92,	 3144,	 2798
-4.91,	 3256,	 2837
-4.90,	 3158,	 2854
-4.89,	 3398,	 2934
-4.88,	 3306,	 3018
-4.87,	 3359,	 3027
-4.86,	 3313,	 2989
-4.85,	 3555,	 3239
-4.84,	 3495,	 3217
