score,log2_sf_pred,log2_sf_real,metakey,metaval
,,,n,65
,,,N,10346
,,,fft,17
,,,enum,28
,,,cores,40
,,,walltime,24870.554143423215
,,,cputime,32.609872698
0,-1.0,-1.001,,
1,-1.016,-1.017,,
2,-1.032,-1.033,,
3,-1.049,-1.05,,
4,-1.065,-1.066,,
5,-1.082,-1.083,,
6,-1.099,-1.1,,
7,-1.116,-1.117,,
8,-1.134,-1.135,,
9,-1.151,-1.152,,
10,-1.169,-1.17,,
11,-1.187,-1.188,,
12,-1.205,-1.206,,
13,-1.223,-1.224,,
14,-1.242,-1.243,,
15,-1.261,-1.261,,
16,-1.279,-1.28,,
17,-1.298,-1.299,,
18,-1.318,-1.318,,
19,-1.337,-1.338,,
20,-1.357,-1.358,,
21,-1.376,-1.377,,
22,-1.397,-1.397,,
23,-1.417,-1.418,,
24,-1.437,-1.438,,
25,-1.458,-1.459,,
26,-1.478,-1.479,,
27,-1.499,-1.5,,
28,-1.521,-1.521,,
29,-1.542,-1.543,,
30,-1.564,-1.564,,
31,-1.585,-1.586,,
32,-1.607,-1.608,,
33,-1.63,-1.63,,
34,-1.652,-1.653,,
35,-1.675,-1.675,,
36,-1.697,-1.698,,
37,-1.72,-1.721,,
38,-1.744,-1.744,,
39,-1.767,-1.768,,
40,-1.791,-1.791,,
41,-1.814,-1.815,,
42,-1.838,-1.839,,
43,-1.863,-1.863,,
44,-1.887,-1.888,,
45,-1.912,-1.912,,
46,-1.937,-1.937,,
47,-1.962,-1.962,,
48,-1.987,-1.988,,
49,-2.012,-2.013,,
50,-2.038,-2.039,,
51,-2.064,-2.065,,
52,-2.09,-2.091,,
53,-2.117,-2.117,,
54,-2.143,-2.144,,
55,-2.17,-2.17,,
56,-2.197,-2.197,,
57,-2.224,-2.225,,
58,-2.252,-2.252,,
59,-2.279,-2.28,,
60,-2.307,-2.307,,
61,-2.335,-2.335,,
62,-2.363,-2.364,,
63,-2.392,-2.392,,
64,-2.421,-2.421,,
65,-2.45,-2.45,,
66,-2.479,-2.479,,
67,-2.508,-2.508,,
68,-2.538,-2.538,,
69,-2.568,-2.568,,
70,-2.598,-2.598,,
71,-2.628,-2.628,,
72,-2.658,-2.658,,
73,-2.689,-2.689,,
74,-2.72,-2.72,,
75,-2.751,-2.751,,
76,-2.783,-2.782,,
77,-2.814,-2.814,,
78,-2.846,-2.846,,
79,-2.878,-2.878,,
80,-2.91,-2.91,,
81,-2.943,-2.943,,
82,-2.976,-2.975,,
83,-3.009,-3.008,,
84,-3.042,-3.041,,
85,-3.075,-3.075,,
86,-3.109,-3.108,,
87,-3.143,-3.142,,
88,-3.177,-3.176,,
89,-3.211,-3.211,,
90,-3.246,-3.245,,
91,-3.281,-3.28,,
92,-3.316,-3.315,,
93,-3.351,-3.35,,
94,-3.387,-3.385,,
95,-3.422,-3.421,,
96,-3.458,-3.457,,
97,-3.495,-3.493,,
98,-3.531,-3.53,,
99,-3.568,-3.566,,
100,-3.605,-3.603,,
101,-3.642,-3.64,,
102,-3.679,-3.677,,
103,-3.717,-3.715,,
104,-3.755,-3.753,,
105,-3.793,-3.791,,
106,-3.831,-3.829,,
107,-3.87,-3.867,,
108,-3.908,-3.906,,
109,-3.947,-3.945,,
110,-3.987,-3.984,,
111,-4.026,-4.024,,
112,-4.066,-4.063,,
113,-4.106,-4.103,,
114,-4.146,-4.143,,
115,-4.187,-4.184,,
116,-4.227,-4.224,,
117,-4.268,-4.265,,
118,-4.309,-4.306,,
119,-4.351,-4.348,,
120,-4.392,-4.389,,
121,-4.434,-4.431,,
122,-4.477,-4.473,,
123,-4.519,-4.515,,
124,-4.562,-4.558,,
125,-4.604,-4.601,,
126,-4.648,-4.644,,
127,-4.691,-4.687,,
128,-4.734,-4.73,,
129,-4.778,-4.774,,
130,-4.822,-4.818,,
131,-4.867,-4.862,,
132,-4.911,-4.907,,
133,-4.956,-4.951,,
134,-5.001,-4.996,,
135,-5.046,-5.041,,
136,-5.092,-5.087,,
137,-5.138,-5.132,,
138,-5.184,-5.178,,
139,-5.23,-5.224,,
140,-5.277,-5.271,,
141,-5.323,-5.318,,
142,-5.37,-5.364,,
143,-5.418,-5.412,,
144,-5.465,-5.459,,
145,-5.513,-5.506,,
146,-5.561,-5.554,,
147,-5.609,-5.602,,
148,-5.658,-5.651,,
149,-5.707,-5.699,,
150,-5.756,-5.748,,
151,-5.805,-5.797,,
