score,log2_sf_pred,log2_sf_real,metakey,metaval
,,,n,80
,,,N,89494
,,,fft,20
,,,enum,27
,,,cores,39
,,,walltime,255949.36217472702
,,,cputime,568.250500828
0,-1.0,-1.0,,
1,-1.005,-1.006,,
2,-1.011,-1.011,,
3,-1.016,-1.017,,
4,-1.022,-1.022,,
5,-1.027,-1.028,,
6,-1.033,-1.033,,
7,-1.039,-1.039,,
8,-1.044,-1.044,,
9,-1.05,-1.05,,
10,-1.055,-1.056,,
11,-1.061,-1.061,,
12,-1.067,-1.067,,
13,-1.072,-1.073,,
14,-1.078,-1.078,,
15,-1.084,-1.084,,
16,-1.09,-1.09,,
17,-1.096,-1.096,,
18,-1.101,-1.102,,
19,-1.107,-1.107,,
20,-1.113,-1.113,,
21,-1.119,-1.119,,
22,-1.125,-1.125,,
23,-1.131,-1.131,,
24,-1.137,-1.137,,
25,-1.143,-1.143,,
26,-1.149,-1.149,,
27,-1.155,-1.155,,
28,-1.161,-1.161,,
29,-1.167,-1.167,,
30,-1.173,-1.173,,
31,-1.179,-1.179,,
32,-1.185,-1.185,,
33,-1.191,-1.191,,
34,-1.197,-1.197,,
35,-1.203,-1.204,,
36,-1.209,-1.21,,
37,-1.216,-1.216,,
38,-1.222,-1.222,,
39,-1.228,-1.228,,
40,-1.234,-1.235,,
41,-1.241,-1.241,,
42,-1.247,-1.247,,
43,-1.253,-1.254,,
44,-1.26,-1.26,,
45,-1.266,-1.266,,
46,-1.273,-1.273,,
47,-1.279,-1.279,,
48,-1.285,-1.286,,
49,-1.292,-1.292,,
50,-1.298,-1.299,,
51,-1.305,-1.305,,
52,-1.311,-1.312,,
53,-1.318,-1.318,,
54,-1.325,-1.325,,
55,-1.331,-1.331,,
56,-1.338,-1.338,,
57,-1.345,-1.345,,
58,-1.351,-1.351,,
59,-1.358,-1.358,,
60,-1.365,-1.365,,
61,-1.371,-1.372,,
62,-1.378,-1.378,,
63,-1.385,-1.385,,
64,-1.392,-1.392,,
65,-1.399,-1.399,,
66,-1.405,-1.406,,
67,-1.412,-1.413,,
68,-1.419,-1.419,,
69,-1.426,-1.426,,
70,-1.433,-1.433,,
71,-1.44,-1.44,,
72,-1.447,-1.447,,
73,-1.454,-1.454,,
74,-1.461,-1.461,,
75,-1.468,-1.468,,
76,-1.475,-1.475,,
77,-1.482,-1.483,,
78,-1.489,-1.49,,
79,-1.497,-1.497,,
80,-1.504,-1.504,,
81,-1.511,-1.511,,
82,-1.518,-1.518,,
83,-1.525,-1.526,,
84,-1.533,-1.533,,
85,-1.54,-1.54,,
86,-1.547,-1.547,,
87,-1.555,-1.555,,
88,-1.562,-1.562,,
89,-1.569,-1.57,,
90,-1.577,-1.577,,
91,-1.584,-1.584,,
92,-1.592,-1.592,,
93,-1.599,-1.599,,
94,-1.607,-1.607,,
