score,log2_sf_pred,log2_sf_real,metakey,metaval
,,,n,95
,,,N,774164
,,,fft,22
,,,enum,27
,,,cores,94
,,,walltime,743592.1595184729
,,,cputime,37951.712355073
0,-1.0,-1.0,,
1,-1.002,-1.002,,
2,-1.004,-1.004,,
3,-1.006,-1.006,,
4,-1.007,-1.007,,
5,-1.009,-1.009,,
6,-1.011,-1.011,,
7,-1.013,-1.013,,
8,-1.015,-1.015,,
9,-1.017,-1.017,,
10,-1.019,-1.019,,
11,-1.02,-1.021,,
12,-1.022,-1.022,,
13,-1.024,-1.024,,
14,-1.026,-1.026,,
15,-1.028,-1.028,,
16,-1.03,-1.03,,
17,-1.032,-1.032,,
18,-1.034,-1.034,,
19,-1.036,-1.036,,
20,-1.037,-1.038,,
21,-1.039,-1.039,,
22,-1.041,-1.041,,
23,-1.043,-1.043,,
24,-1.045,-1.045,,
25,-1.047,-1.047,,
26,-1.049,-1.049,,
27,-1.051,-1.051,,
28,-1.053,-1.053,,
29,-1.055,-1.055,,
30,-1.057,-1.057,,
31,-1.059,-1.059,,
32,-1.06,-1.06,,
33,-1.062,-1.062,,
34,-1.064,-1.064,,
35,-1.066,-1.066,,
36,-1.068,-1.068,,
37,-1.07,-1.07,,
38,-1.072,-1.072,,
39,-1.074,-1.074,,
40,-1.076,-1.076,,
41,-1.078,-1.078,,
42,-1.08,-1.08,,
43,-1.082,-1.082,,
44,-1.084,-1.084,,
45,-1.086,-1.086,,
46,-1.088,-1.088,,
47,-1.09,-1.09,,
48,-1.092,-1.092,,
49,-1.094,-1.094,,
50,-1.096,-1.096,,
51,-1.097,-1.098,,
52,-1.099,-1.1,,
53,-1.101,-1.101,,
54,-1.103,-1.103,,
55,-1.105,-1.105,,
56,-1.107,-1.107,,
57,-1.109,-1.109,,
58,-1.111,-1.111,,
59,-1.113,-1.113,,
60,-1.115,-1.115,,
61,-1.117,-1.117,,
62,-1.119,-1.119,,
63,-1.121,-1.121,,
64,-1.123,-1.123,,
65,-1.125,-1.125,,
66,-1.127,-1.127,,
67,-1.129,-1.129,,
68,-1.131,-1.131,,
69,-1.133,-1.133,,
70,-1.135,-1.135,,
71,-1.137,-1.137,,
72,-1.139,-1.14,,
73,-1.141,-1.142,,
74,-1.143,-1.144,,
75,-1.146,-1.146,,
76,-1.148,-1.148,,
77,-1.15,-1.15,,
78,-1.152,-1.152,,
79,-1.154,-1.154,,
80,-1.156,-1.156,,
81,-1.158,-1.158,,
82,-1.16,-1.16,,
83,-1.162,-1.162,,
84,-1.164,-1.164,,
85,-1.166,-1.166,,
86,-1.168,-1.168,,
87,-1.17,-1.17,,
88,-1.172,-1.172,,
89,-1.174,-1.174,,
90,-1.176,-1.176,,
91,-1.178,-1.178,,
92,-1.18,-1.18,,
93,-1.182,-1.183,,
94,-1.185,-1.185,,
95,-1.187,-1.187,,
96,-1.189,-1.189,,
97,-1.191,-1.191,,
98,-1.193,-1.193,,
99,-1.195,-1.195,,
100,-1.197,-1.197,,
101,-1.199,-1.199,,
102,-1.201,-1.201,,
103,-1.203,-1.203,,
104,-1.205,-1.206,,
105,-1.208,-1.208,,
106,-1.21,-1.21,,
107,-1.212,-1.212,,
108,-1.214,-1.214,,
109,-1.216,-1.216,,
110,-1.218,-1.218,,
111,-1.22,-1.22,,
112,-1.222,-1.222,,
113,-1.225,-1.225,,
114,-1.227,-1.227,,
115,-1.229,-1.229,,
116,-1.231,-1.231,,
117,-1.233,-1.233,,
118,-1.235,-1.235,,
119,-1.237,-1.237,,
120,-1.239,-1.24,,
121,-1.242,-1.242,,
122,-1.244,-1.244,,
123,-1.246,-1.246,,
124,-1.248,-1.248,,
125,-1.25,-1.25,,
126,-1.252,-1.252,,
127,-1.255,-1.255,,
128,-1.257,-1.257,,
129,-1.259,-1.259,,
130,-1.261,-1.261,,
131,-1.263,-1.263,,
132,-1.265,-1.265,,
133,-1.268,-1.268,,
134,-1.27,-1.27,,
135,-1.272,-1.272,,
136,-1.274,-1.274,,
137,-1.276,-1.276,,
138,-1.278,-1.279,,
139,-1.281,-1.281,,
140,-1.283,-1.283,,
141,-1.285,-1.285,,
142,-1.287,-1.287,,
143,-1.289,-1.29,,
144,-1.292,-1.292,,
145,-1.294,-1.294,,
146,-1.296,-1.296,,
147,-1.298,-1.298,,
148,-1.3,-1.301,,
149,-1.303,-1.303,,
150,-1.305,-1.305,,
151,-1.307,-1.307,,
152,-1.309,-1.309,,
153,-1.312,-1.312,,
154,-1.314,-1.314,,
155,-1.316,-1.316,,
156,-1.318,-1.318,,
157,-1.321,-1.321,,
158,-1.323,-1.323,,
159,-1.325,-1.325,,
160,-1.327,-1.327,,
161,-1.33,-1.33,,
162,-1.332,-1.332,,
163,-1.334,-1.334,,
164,-1.336,-1.336,,
165,-1.339,-1.339,,
166,-1.341,-1.341,,
167,-1.343,-1.343,,
168,-1.345,-1.345,,
169,-1.348,-1.348,,
170,-1.35,-1.35,,
171,-1.352,-1.352,,
172,-1.354,-1.354,,
173,-1.357,-1.357,,
174,-1.359,-1.359,,
175,-1.361,-1.361,,
176,-1.364,-1.364,,
177,-1.366,-1.366,,
178,-1.368,-1.368,,
179,-1.37,-1.37,,
180,-1.373,-1.373,,
181,-1.375,-1.375,,
182,-1.377,-1.377,,
183,-1.38,-1.38,,
184,-1.382,-1.382,,
185,-1.384,-1.384,,
186,-1.387,-1.387,,
187,-1.389,-1.389,,
188,-1.391,-1.391,,
189,-1.393,-1.394,,
190,-1.396,-1.396,,
191,-1.398,-1.398,,
192,-1.4,-1.401,,
193,-1.403,-1.403,,
194,-1.405,-1.405,,
195,-1.407,-1.408,,
196,-1.41,-1.41,,
197,-1.412,-1.412,,
198,-1.414,-1.415,,
199,-1.417,-1.417,,
200,-1.419,-1.419,,
201,-1.422,-1.422,,
202,-1.424,-1.424,,
203,-1.426,-1.426,,
204,-1.429,-1.429,,
205,-1.431,-1.431,,
206,-1.433,-1.433,,
207,-1.436,-1.436,,
208,-1.438,-1.438,,
209,-1.44,-1.44,,
210,-1.443,-1.443,,
211,-1.445,-1.445,,
212,-1.448,-1.448,,
213,-1.45,-1.45,,
214,-1.452,-1.452,,
215,-1.455,-1.455,,
216,-1.457,-1.457,,
217,-1.459,-1.46,,
218,-1.462,-1.462,,
219,-1.464,-1.464,,
220,-1.467,-1.467,,
221,-1.469,-1.469,,
222,-1.471,-1.472,,
223,-1.474,-1.474,,
224,-1.476,-1.476,,
225,-1.479,-1.479,,
226,-1.481,-1.481,,
227,-1.484,-1.484,,
228,-1.486,-1.486,,
229,-1.488,-1.488,,
230,-1.491,-1.491,,
231,-1.493,-1.493,,
232,-1.496,-1.496,,
233,-1.498,-1.498,,
234,-1.501,-1.501,,
235,-1.503,-1.503,,
236,-1.505,-1.506,,
237,-1.508,-1.508,,
238,-1.51,-1.51,,
239,-1.513,-1.513,,
240,-1.515,-1.515,,
241,-1.518,-1.518,,
242,-1.52,-1.52,,
243,-1.523,-1.523,,
244,-1.525,-1.525,,
245,-1.528,-1.528,,
246,-1.53,-1.53,,
247,-1.532,-1.533,,
248,-1.535,-1.535,,
249,-1.537,-1.538,,
250,-1.54,-1.54,,
251,-1.542,-1.542,,
252,-1.545,-1.545,,
253,-1.547,-1.547,,
254,-1.55,-1.55,,
255,-1.552,-1.552,,
256,-1.555,-1.555,,
