score,log2_sf_pred,log2_sf_real,metakey,metaval
,,,n,90
,,,N,377126
,,,fft,22
,,,enum,26
,,,cores,94
,,,walltime,298789.2722564675
,,,cputime,9751.204049258999
0,-1.0,-1.0,,
1,-1.003,-1.003,,
2,-1.005,-1.005,,
3,-1.008,-1.008,,
4,-1.011,-1.011,,
5,-1.013,-1.013,,
6,-1.016,-1.016,,
7,-1.019,-1.019,,
8,-1.021,-1.021,,
9,-1.024,-1.024,,
10,-1.027,-1.027,,
11,-1.029,-1.03,,
12,-1.032,-1.032,,
13,-1.035,-1.035,,
14,-1.038,-1.038,,
15,-1.04,-1.04,,
16,-1.043,-1.043,,
17,-1.046,-1.046,,
18,-1.049,-1.049,,
19,-1.051,-1.051,,
20,-1.054,-1.054,,
21,-1.057,-1.057,,
22,-1.06,-1.06,,
23,-1.062,-1.062,,
24,-1.065,-1.065,,
25,-1.068,-1.068,,
26,-1.071,-1.071,,
27,-1.073,-1.073,,
28,-1.076,-1.076,,
29,-1.079,-1.079,,
30,-1.082,-1.082,,
31,-1.085,-1.085,,
32,-1.087,-1.087,,
33,-1.09,-1.09,,
34,-1.093,-1.093,,
35,-1.096,-1.096,,
36,-1.099,-1.099,,
37,-1.101,-1.102,,
38,-1.104,-1.104,,
39,-1.107,-1.107,,
40,-1.11,-1.11,,
41,-1.113,-1.113,,
42,-1.116,-1.116,,
43,-1.119,-1.119,,
44,-1.121,-1.122,,
45,-1.124,-1.124,,
46,-1.127,-1.127,,
47,-1.13,-1.13,,
48,-1.133,-1.133,,
49,-1.136,-1.136,,
50,-1.139,-1.139,,
51,-1.142,-1.142,,
52,-1.145,-1.145,,
53,-1.147,-1.148,,
54,-1.15,-1.15,,
55,-1.153,-1.153,,
56,-1.156,-1.156,,
57,-1.159,-1.159,,
58,-1.162,-1.162,,
59,-1.165,-1.165,,
60,-1.168,-1.168,,
61,-1.171,-1.171,,
62,-1.174,-1.174,,
63,-1.177,-1.177,,
64,-1.18,-1.18,,
65,-1.183,-1.183,,
66,-1.186,-1.186,,
67,-1.189,-1.189,,
68,-1.192,-1.192,,
69,-1.195,-1.195,,
70,-1.198,-1.198,,
71,-1.201,-1.201,,
72,-1.204,-1.204,,
73,-1.207,-1.207,,
