-3.00, 	 558, 	 0, 	 0
-2.99, 	 2427, 	 0, 	 0
-2.98, 	 3352, 	 0, 	 0
-2.97, 	 4137, 	 0, 	 0
-2.96, 	 4725, 	 0, 	 0
-2.95, 	 5363, 	 0, 	 0
-2.94, 	 5887, 	 0, 	 0
-2.93, 	 6489, 	 0, 	 11989
-2.92, 	 6778, 	 0, 	 12524
-2.91, 	 7420, 	 0, 	 12345
-2.90, 	 7809, 	 0, 	 12752
-2.89, 	 8193, 	 0, 	 12738
-2.88, 	 8616, 	 0, 	 12932
-2.87, 	 9151, 	 0, 	 12574
-2.86, 	 9545, 	 0, 	 12706
-2.85, 	 9745, 	 0, 	 12739
-2.84, 	 9967, 	 0, 	 12658
-2.83, 	 10217, 	 0, 	 12753
-2.82, 	 10547, 	 0, 	 12618
-2.81, 	 11014, 	 0, 	 12741
-2.80, 	 11455, 	 0, 	 12870
-2.79, 	 11598, 	 0, 	 12860
-2.78, 	 11838, 	 0, 	 12921
-2.77, 	 12469, 	 0, 	 12979
-2.76, 	 12577, 	 0, 	 12872
-2.75, 	 12646, 	 0, 	 12798
-2.74, 	 13147, 	 0, 	 13270
-2.73, 	 13465, 	 0, 	 13054
-2.72, 	 13680, 	 0, 	 12990
-2.71, 	 13966, 	 0, 	 12981
-2.70, 	 14216, 	 0, 	 13126
-2.69, 	 14476, 	 0, 	 13162
-2.68, 	 14773, 	 0, 	 13164
-2.67, 	 15033, 	 0, 	 13364
-2.66, 	 15249, 	 0, 	 13371
-2.65, 	 15543, 	 0, 	 13202
-2.64, 	 15864, 	 0, 	 13252
-2.63, 	 16046, 	 0, 	 13269
-2.62, 	 16566, 	 0, 	 13477
-2.61, 	 17062, 	 0, 	 13205
-2.60, 	 17064, 	 0, 	 13660
-2.59, 	 17120, 	 0, 	 13380
-2.58, 	 17352, 	 0, 	 13502
-2.57, 	 17551, 	 0, 	 13609
-2.56, 	 18122, 	 0, 	 13573
-2.55, 	 18022, 	 0, 	 13602
-2.54, 	 18619, 	 0, 	 13533
-2.53, 	 18483, 	 0, 	 13605
-2.52, 	 19015, 	 0, 	 13565
-2.51, 	 19333, 	 0, 	 13684
-2.50, 	 19335, 	 0, 	 13786
-2.49, 	 19733, 	 0, 	 13864
-2.48, 	 19868, 	 0, 	 13701
-2.47, 	 20095, 	 0, 	 14007
