score,log2_sf_pred,log2_sf_real,metakey,metaval
,,,n,70
,,,N,21238
,,,fft,18
,,,enum,27
,,,cores,40
,,,walltime,34631.57267406583
,,,cputime,68.89366708700001
221,-5.967,-5.961,,
222,-6.002,-5.996,,
223,-6.037,-6.031,,
224,-6.072,-6.067,,
225,-6.108,-6.102,,
226,-6.143,-6.137,,
227,-6.179,-6.173,,
228,-6.215,-6.209,,
229,-6.251,-6.245,,
230,-6.287,-6.281,,
231,-6.323,-6.317,,
232,-6.359,-6.353,,
233,-6.396,-6.389,,
234,-6.432,-6.426,,
235,-6.469,-6.462,,
236,-6.506,-6.499,,
237,-6.543,-6.536,,
238,-6.58,-6.573,,
239,-6.617,-6.61,,
240,-6.654,-6.647,,
241,-6.691,-6.684,,
242,-6.729,-6.722,,
243,-6.767,-6.759,,
244,-6.804,-6.797,,
245,-6.842,-6.835,,
246,-6.88,-6.873,,
247,-6.918,-6.911,,
248,-6.957,-6.949,,
249,-6.995,-6.987,,
250,-7.034,-7.026,,
251,-7.072,-7.064,,
252,-7.111,-7.103,,
253,-7.15,-7.142,,
254,-7.189,-7.181,,
255,-7.228,-7.22,,
256,-7.267,-7.259,,
257,-7.307,-7.298,,
258,-7.346,-7.337,,
259,-7.386,-7.377,,
260,-7.426,-7.417,,
261,-7.465,-7.456,,
262,-7.505,-7.496,,
263,-7.546,-7.536,,
264,-7.586,-7.576,,
265,-7.626,-7.617,,
266,-7.667,-7.657,,
267,-7.707,-7.697,,
268,-7.748,-7.738,,
269,-7.789,-7.779,,
270,-7.83,-7.82,,
271,-7.871,-7.861,,
272,-7.912,-7.902,,
273,-7.954,-7.943,,
274,-7.995,-7.984,,
275,-8.037,-8.026,,
276,-8.079,-8.068,,
277,-8.12,-8.109,,
278,-8.162,-8.151,,
279,-8.205,-8.193,,
280,-8.247,-8.235,,
281,-8.289,-8.277,,
282,-8.332,-8.32,,
283,-8.374,-8.362,,
284,-8.417,-8.405,,
285,-8.46,-8.448,,
286,-8.503,-8.49,,
287,-8.546,-8.533,,
288,-8.589,-8.577,,
289,-8.633,-8.62,,
290,-8.676,-8.663,,
291,-8.72,-8.707,,
292,-8.763,-8.75,,
293,-8.807,-8.794,,
294,-8.851,-8.838,,
295,-8.895,-8.882,,
296,-8.94,-8.926,,
297,-8.984,-8.97,,
298,-9.028,-9.014,,
299,-9.073,-9.059,,
300,-9.118,-9.104,,
301,-9.163,-9.148,,
302,-9.208,-9.193,,
303,-9.253,-9.238,,
304,-9.298,-9.283,,
305,-9.343,-9.328,,
306,-9.389,-9.374,,
307,-9.435,-9.419,,
308,-9.48,-9.465,,
309,-9.526,-9.511,,
310,-9.572,-9.556,,
311,-9.618,-9.602,,
312,-9.665,-9.648,,
313,-9.711,-9.695,,
314,-9.758,-9.741,,
315,-9.804,-9.788,,
316,-9.851,-9.834,,
