score,cdf_pred,cdf_real,metakey,metaval
,,,n,40
,,,N,284
,,,log_samples,15
,,,gh_factor,0.7
,,,cores,4
,,,walltime,2.8403145350002887
,,,cputime,0.29658193099999997
,,,real_avg,31.102270533408554
,,,real_med,29.42617039040595
,,,real_var,402.83293392227336
,,,pred_avg,30.966455521021825
,,,pred_med,30.966455521021825
,,,pred_var,138.60233661702665
14.565,0.082,0.206,,
14.637,0.083,0.207,,
14.699,0.084,0.208,,
14.764,0.084,0.209,,
14.837,0.085,0.21,,
14.881,0.086,0.211,,
14.931,0.087,0.212,,
14.977,0.087,0.213,,
15.04,0.088,0.214,,
15.112,0.089,0.215,,
15.156,0.09,0.216,,
15.232,0.091,0.217,,
15.293,0.092,0.218,,
15.366,0.093,0.219,,
15.425,0.093,0.22,,
15.486,0.094,0.221,,
15.564,0.095,0.222,,
15.628,0.096,0.223,,
15.678,0.097,0.224,,
15.724,0.098,0.225,,
15.768,0.098,0.226,,
15.83,0.099,0.227,,
15.896,0.1,0.228,,
15.96,0.101,0.229,,
16.044,0.102,0.23,,
16.092,0.103,0.23,,
16.15,0.104,0.231,,
16.205,0.105,0.232,,
16.249,0.106,0.233,,
16.312,0.107,0.234,,
16.359,0.107,0.235,,
16.414,0.108,0.236,,
16.466,0.109,0.237,,
16.542,0.11,0.238,,
16.589,0.111,0.239,,
16.643,0.112,0.24,,
16.686,0.113,0.241,,
16.74,0.113,0.242,,
16.795,0.114,0.243,,
16.844,0.115,0.244,,
16.895,0.116,0.245,,
16.958,0.117,0.246,,
17.017,0.118,0.247,,
17.095,0.119,0.248,,
17.143,0.12,0.249,,
17.197,0.121,0.25,,
17.244,0.122,0.251,,
17.289,0.123,0.252,,
17.334,0.123,0.253,,
17.387,0.124,0.254,,
17.428,0.125,0.255,,
17.48,0.126,0.256,,
17.541,0.127,0.257,,
17.582,0.128,0.258,,
17.635,0.129,0.259,,
17.677,0.129,0.26,,
17.722,0.13,0.261,,
17.775,0.131,0.262,,
17.828,0.132,0.263,,
17.879,0.133,0.264,,
17.939,0.134,0.265,,
17.977,0.135,0.266,,
18.034,0.136,0.267,,
18.09,0.137,0.268,,
18.127,0.138,0.269,,
18.162,0.138,0.27,,
18.213,0.139,0.271,,
18.262,0.14,0.272,,
18.306,0.141,0.272,,
18.356,0.142,0.273,,
18.395,0.143,0.274,,
18.445,0.144,0.275,,
18.484,0.145,0.276,,
18.529,0.145,0.277,,
18.581,0.146,0.278,,
18.63,0.147,0.279,,
18.682,0.148,0.28,,
18.751,0.15,0.281,,
18.802,0.151,0.282,,
18.857,0.152,0.283,,
18.91,0.153,0.284,,
